DLiP-ID,T000XH
DLiP-Mol-ID,16686
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23N5O7/c1-31-16(28)8-13-19(30)23(10-15(26)27)6-7-24(13)14(25)9-22-18(29)12-4-2-11(3-5-12)17(20)21/h2-5,13H,6-10H2,1H3,(H3,20,21)(H,22,29)(H,26,27)/t13-/m1/s1"
Standard Inchi Key(RDKit),CRFQJHNXTNBRQR-CYBMUJFWSA-N
Canonical SMILES(RDKit),COC(=O)C[C@@H]1C(=O)N(CC(=O)O)CCN1C(=O)CNC(=O)c1ccc(C(=N)N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),433.421
MW Monoisotopic(RDKit),433.159748076
MolLogP(RDKit),-1.61243
XLogP(SDF),
XLogP(CDK),-3.365
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),12
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),183.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.214262670751228
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4652929.677418165
qed,0.21426267075122768
Chi0,23.129027554137906
Chi1,14.633136710733776
TPSA,183.19
Chi0n,16.790766050353547
Chi0v,16.790766050353547
Chi1n,9.231875069975569
Chi1v,9.231875069975569
Chi2n,6.710421784370044
Chi2v,6.710421784370044
Chi3n,4.676193821006903
Chi3v,4.676193821006903
Chi4n,3.0566657699136295
Chi4v,3.0566657699136295
