DLiP-ID,T007DV
DLiP-Mol-ID,25418
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H33N3O4/c1-25(14-4-3-5-15-25)24(31)28-21(23(29)30)17-18-9-11-20(12-10-18)32-16-13-19-7-6-8-22(26-2)27-19/h6-12,21H,3-5,13-17H2,1-2H3,(H,26,27)(H,28,31)(H,29,30)/t21-/m0/s1"
Standard Inchi Key(RDKit),XOCIVSKNARLKGI-NRFANRHFSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2ccc(C[C@H](NC(=O)C3(C)CCCCC3)C(=O)O)cc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),439.556
MW Monoisotopic(RDKit),439.247106536
MolLogP(RDKit),3.8271
XLogP(SDF),
XLogP(CDK),2.005
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.520247106042801
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,13674643.469507683
qed,0.5202471060428007
Chi0,22.97648072687178
Chi1,15.391997194828066
TPSA,100.55000000000001
Chi0n,18.894828465400895
Chi0v,18.894828465400895
Chi1n,11.287064226469338
Chi1v,11.287064226469338
Chi2n,8.696306696557869
Chi2v,8.696306696557869
Chi3n,6.161718892652297
Chi3v,6.161718892652297
Chi4n,4.080691606248595
Chi4v,4.080691606248595
MolMR,123.88720000000008
MolWt,439.5560000000003
fr_SH,0
