DLiP-ID,T004ZC
DLiP-Mol-ID,21698
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H38N4O3/c34-27(10-9-25-8-7-21-5-3-13-30-29(21)32-25)33-14-11-20(12-15-33)16-23(18-28(35)36)24-17-22-4-1-2-6-26(22)31-19-24/h7-8,17,19-20,23H,1-6,9-16,18H2,(H,30,32)(H,35,36)/t23-/m1/s1"
Standard Inchi Key(RDKit),PQYGSGMXFJNDPV-HSZRJFAPSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H](CC1CCN(C(=O)CCc2ccc3c(n2)NCCC3)CC1)c1cnc2c(c1)CCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),490.648
MW Monoisotopic(RDKit),490.294391076
MolLogP(RDKit),4.5333
XLogP(SDF),
XLogP(CDK),3.216
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.564396902444816
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,195402733.67398456
qed,0.5643969024448152
Chi0,24.90720214718992
Chi1,17.5468465311072
TPSA,95.42
Chi0n,21.176054295863523
Chi0v,21.176054295863523
Chi1n,13.748436028369035
Chi1v,13.748436028369035
Chi2n,10.776875869398916
Chi2v,10.776875869398916
Chi3n,8.215051415836092
Chi3v,8.215051415836092
Chi4n,6.099506500487985
Chi4v,6.099506500487985
MolMR,139.1624999999999
MolWt,490.6480000000004
fr_SH,0
Kappa1,24.72197127383157
Kappa2,11.398858348778004
Kappa3,6.050523601809772
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1093.9220157670452
MolLogP,4.533300000000004
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.1295426053704962
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,5.917906046161393
SMR_VSA5,82.96776552127353
SMR_VSA6,24.951057821744058
SMR_VSA7,52.47415524178581
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
