DLiP-ID,C000OI
DLiP-Mol-ID,31126
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H7N3O4/c14-9-8(11-10(15)12-9)5-6-2-1-3-7(4-6)13(16)17/h1-5H,(H2,11,12,14,15)/b8-5-"
Standard Inchi Key(RDKit),UXLLZDWZJYMJKG-YVMONPNESA-N
Canonical SMILES(RDKit),O=C1NC(=O)/C(=C/c2cccc([N+](=O)[O-])c2)N1
SMILES(SDF),
MW(SDF),
MW(RDKit),233.183
MW Monoisotopic(RDKit),233.043655704
MolLogP(RDKit),0.7751
XLogP(SDF),
XLogP(CDK),1.399
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.340708720562309
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8044.200601351361
qed,0.34070872056230905
Chi0,12.41384908344359
Chi1,8.0585506480638
TPSA,101.34
Chi0n,8.46695810330354
Chi0v,8.46695810330354
Chi1n,4.645720934119499
Chi1v,4.645720934119499
Chi2n,3.3183573242155746
Chi2v,3.3183573242155746
Chi3n,2.1119205682816546
Chi3v,2.1119205682816546
Chi4n,1.377215110096076
Chi4v,1.377215110096076
MolMR,57.747800000000005
MolWt,233.183
fr_SH,0
Kappa1,10.805788371993678
Kappa2,4.046244645981219
Kappa3,2.278679440217902
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,550.2369214438911
MolLogP,0.7750999999999999
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.3251427810863783
SMR_VSA1,14.512385416961315
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,45.64027734736484
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,95.27148168117331
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,20.225644056843727
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,11.639471598530877
PEOE_VSA8,12.13273413692322
PEOE_VSA9,4.923311048817671
RingCount,2
SMR_VSA10,23.70170062320702
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,233.043655704
NumHDonors,2
PEOE_VSA10,5.697039313055833
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.594566004035068
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.633577208012662
SlogP_VSA2,16.86160529050725
SlogP_VSA3,4.794537184071822
SlogP_VSA4,10.114318268765572
SlogP_VSA5,5.563451491696996
SlogP_VSA6,29.962507586902273
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
