DLiP-ID,C001SP
DLiP-Mol-ID,32858
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H31NO7S/c1-32(29,30)24-23(28)12-8-3-2-7-11-19-20(22(27)15-21(19)26)14-13-17(25)16-31-18-9-5-4-6-10-18/h2,4-7,9-10,13-14,17,19-20,22,25,27H,3,8,11-12,15-16H2,1H3,(H,24,28)/b7-2-,14-13+/t17-,19-,20-,22-/m1/s1"
Standard Inchi Key(RDKit),UQZVCDCIMBLVNR-TWYODKAFSA-N
Canonical SMILES(RDKit),CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),465.568
MW Monoisotopic(RDKit),465.182123332
MolLogP(RDKit),1.741
XLogP(SDF),
XLogP(CDK),1.413
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),130.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),12
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.31659822262141
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8060768.669502994
qed,0.31659822262141
Chi0,23.562267164498685
Chi1,15.153685662454272
TPSA,130.0
Chi0n,18.092111120367523
Chi0v,18.90860770129525
Chi1n,10.560858089437696
Chi1v,12.452269627495955
Chi2n,7.894671803089367
Chi2v,9.643127002273113
Chi3n,5.082791798670056
Chi3v,5.681253511199394
Chi4n,3.5367602501075095
Chi4v,4.0523857352959505
MolMR,120.2891
MolWt,465.56800000000015
fr_SH,0
Kappa1,25.767912010623295
Kappa2,12.521977852915837
Kappa3,9.334614234312456
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
