DLiP-ID,I000YP
DLiP-Mol-ID,29161
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H24N4O/c31-17-21-15-26(23-6-2-4-8-25(23)30-21)29-20-11-9-19(10-12-20)27-14-13-18-16-28-24-7-3-1-5-22(18)24/h1-12,15-16,27-28,31H,13-14,17H2,(H,29,30)"
Standard Inchi Key(RDKit),QEZDSTNLYDQRAB-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)c2ccccc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.505
MW Monoisotopic(RDKit),408.195011388
MolLogP(RDKit),5.6066
XLogP(SDF),
XLogP(CDK),4.237
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.282549101791781
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,26023810.34978985
qed,0.282549101791781
Chi0,21.04539482762413
Chi1,15.297157633333281
TPSA,72.97
Chi0n,17.09865130321432
Chi0v,17.09865130321432
Chi1n,10.45486981510104
Chi1v,10.45486981510104
Chi2n,7.5750408042131925
Chi2v,7.5750408042131925
Chi3n,5.493514430661657
Chi3v,5.493514430661657
Chi4n,3.9215342964248934
Chi4v,3.9215342964248934
MolMR,127.88290000000002
MolWt,408.5050000000001
fr_SH,0
Kappa1,19.15241215831425
Kappa2,8.49797316273814
Kappa3,4.085827832125069
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1324.605299624309
MolLogP,5.606600000000004
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2577909244906709
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.027703587438928
SMR_VSA6,17.178333613925236
SMR_VSA7,96.31699494815949
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.3265134596581
NHOHCount,4
PEOE_VSA1,20.724083123800575
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,54.44884259385427
PEOE_VSA8,46.092907948122196
PEOE_VSA9,17.81751067697764
RingCount,5
SMR_VSA10,38.868008688212804
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,408.195011388
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,21.619240842647695
SlogP_VSA3,13.027703587438928
SlogP_VSA4,0.0
SlogP_VSA5,11.257379486545457
SlogP_VSA6,85.05961546161403
SlogP_VSA7,0.0
SlogP_VSA8,21.805849864162113
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.606881964512918
EState_VSA3,5.693927994848461
EState_VSA4,40.930661784970326
EState_VSA5,16.466376423778055
EState_VSA6,0.0
EState_VSA7,30.33183534230805
EState_VSA8,75.32931436921304
EState_VSA9,0.0
SlogP_VSA10,17.062158824050687
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
