DLiP-ID,C100MJ
DLiP-Mol-ID,35855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H19N3O6S/c1-33-19-10-6-16(7-11-19)25-21(28)14-27-22(29)20(34-24(27)32)13-18-3-2-12-26(18)17-8-4-15(5-9-17)23(30)31/h2-13H,14H2,1H3,(H,25,28)(H,30,31)/b20-13-"
Standard Inchi Key(RDKit),WYDOJXDGAYAMSS-MOSHPQCFSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cccn3-c3ccc(C(=O)O)cc3)C2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),477.498
MW Monoisotopic(RDKit),477.099456328
MolLogP(RDKit),3.8591
XLogP(SDF),
XLogP(CDK),2.561
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),117.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.496276259786217
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,55724256.57012499
qed,0.4962762597862173
Chi0,24.24191172926027
Chi1,16.35057564594808
TPSA,117.94
Chi0n,17.926440540745116
Chi0v,18.74293712167284
Chi1n,10.058557822737495
Chi1v,10.87505440366522
Chi2n,7.199615805616857
Chi2v,8.192807208977957
Chi3n,5.000783959392931
Chi3v,5.908175682697237
Chi4n,3.300541691124562
Chi4v,4.123498448301352
MolMR,127.02900000000002
MolWt,477.49800000000016
fr_SH,0
Kappa1,22.868698716990757
Kappa2,9.672123090778008
Kappa3,4.862701439578648
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1295.0023027452169
MolLogP,3.8591000000000015
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4720833749042712
SMR_VSA1,29.021539084928037
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,18.97134255119644
SMR_VSA7,83.02303025666471
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,198.17549942974858
NHOHCount,2
PEOE_VSA1,19.72727860043844
PEOE_VSA2,19.28352128306594
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,78.5015757408411
PEOE_VSA8,23.26554411582866
PEOE_VSA9,17.578385546864574
RingCount,4
SMR_VSA10,46.548167790735704
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,477.099456328
NumHDonors,2
PEOE_VSA10,12.29426823919648
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,11.146391442523793
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,51.250967180499785
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,16.051916670617278
SlogP_VSA6,71.76565077011924
SlogP_VSA7,0.0
SlogP_VSA8,11.763406381517443
SlogP_VSA9,0.0
fr_amidine,0
