DLiP-ID,T004TF
DLiP-Mol-ID,21433
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H38FN5O3/c1-15(27-5)22(32)29-21(25(2,3)4)23(33)31-14-13-16-7-12-19(20(16)31)28-24(34)30(6)18-10-8-17(26)9-11-18/h8-11,15-16,19-21,27H,7,12-14H2,1-6H3,(H,28,34)(H,29,32)/t15-,16+,19-,20-,21+/m0/s1"
Standard Inchi Key(RDKit),PCAICZHRVPCSTE-CEDHKZHLSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)N(C)c3ccc(F)cc3)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),475.609
MW Monoisotopic(RDKit),475.295868296
MolLogP(RDKit),2.4898
XLogP(SDF),
XLogP(CDK),2.381
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),93.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.589387918099844
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,27152779.394786377
qed,0.5893879180998439
Chi0,25.206377823327532
Chi1,15.933777973616007
TPSA,93.77999999999999
Chi0n,21.02171608285356
Chi0v,21.02171608285356
Chi1n,12.015995136576985
Chi1v,12.015995136576985
Chi2n,10.557735917881171
Chi2v,10.557735917881171
Chi3n,7.180757425908375
Chi3v,7.180757425908375
Chi4n,4.96934707038524
Chi4v,4.96934707038524
MolMR,129.87210000000005
MolWt,475.6090000000002
fr_SH,0
Kappa1,25.934039133060182
Kappa2,10.293803271147327
Kappa3,5.511351522430998
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,900.8073445035529
MolLogP,2.4898000000000007
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.7389275734561962
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,20.850275542869472
SMR_VSA4,11.332896515558172
SMR_VSA5,71.12477698413235
SMR_VSA6,25.54001010211743
SMR_VSA7,30.082689114892332
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,201.1729965802625
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,14.488984098994122
PEOE_VSA3,9.184952231746642
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,20.771211599071872
PEOE_VSA7,68.83223884055046
PEOE_VSA8,19.279814663273328
PEOE_VSA9,18.12552248744388
RingCount,3
SMR_VSA10,23.532860245724645
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,475.295868296
NumHDonors,3
PEOE_VSA10,11.859061670193856
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,20.850275542869472
SlogP_VSA2,67.55284738975035
SlogP_VSA3,9.589074368143644
SlogP_VSA4,17.150117356604067
SlogP_VSA5,46.95741366754052
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
