DLiP-ID,C001XH
DLiP-Mol-ID,26840
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H14Cl2O7/c1-6-11-16(13(20)14(21)12(6)19)27-15-7(2)10(17(22)25-4)8(24-3)5-9(15)26-18(11)23/h5,21H,1-4H3"
Standard Inchi Key(RDKit),RPHAAJGBADUATP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1c(OC)cc2c(c1C)Oc1c(Cl)c(O)c(Cl)c(C)c1C(=O)O2
SMILES(SDF),
MW(SDF),
MW(RDKit),413.209
MW Monoisotopic(RDKit),412.011658148
MolLogP(RDKit),4.43594
XLogP(SDF),
XLogP(CDK),3.856
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.575174626318935
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,922600.7113218665
qed,0.5751746263189355
Chi0,20.041087405397874
Chi1,12.721651770411382
TPSA,91.29
Chi0n,14.729982553491217
Chi0v,16.241840445528126
Chi1n,7.628411282732011
Chi1v,8.384340228750466
Chi2n,5.694946061569061
Chi2v,6.4508750075875145
Chi3n,4.214769972414278
Chi3v,5.027899207854868
Chi4n,2.825169381980538
Chi4v,3.2900757170851227
MolMR,96.96680000000003
MolWt,413.2090000000002
fr_SH,0
Kappa1,19.130756722030203
Kappa2,6.827400454190034
Kappa3,2.830770318669905
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,998.4253766385168
MolLogP,4.435940000000003
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.336125391151587
SMR_VSA1,33.64305357818454
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,14.219595082555067
SMR_VSA7,38.36543966273225
SMR_VSA8,0.0
SMR_VSA9,28.747559166419524
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,2
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,163.85031018248586
NHOHCount,1
PEOE_VSA1,24.0539792100409
PEOE_VSA2,0.0
