DLiP-ID,I0004P
DLiP-Mol-ID,27859
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H20N6O/c1-26-24-29-21-5-3-2-4-20(21)22(30-24)27-15-17-8-12-19(13-9-17)28-23(31)18-10-6-16(14-25)7-11-18/h2-13H,15H2,1H3,(H,28,31)(H2,26,27,29,30)"
Standard Inchi Key(RDKit),BUCKBHOWKWDMMK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNc1nc(NCc2ccc(NC(=O)c3ccc(C#N)cc3)cc2)c2ccccc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.465
MW Monoisotopic(RDKit),408.16985926
MolLogP(RDKit),4.40758
XLogP(SDF),
XLogP(CDK),4.236
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),102.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.436748430335573
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Beta-catenin_TCF-4
Common Target Pref Name,Beta-catenin/TCF
RDKit Descriptors
Ipc,14835911.189243063
qed,0.4367484303355735
Chi0,21.631181265251033
Chi1,15.156529640839985
TPSA,102.73
Chi0n,16.885199088425797
Chi0v,16.885199088425797
Chi1n,9.749349594449836
Chi1v,9.749349594449836
