DLiP-ID,T004IH
DLiP-Mol-ID,18854
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N2O3S/c1-16-9-11-18(12-10-16)26(24,25)22-15-5-8-19(22)20(23)21-14-13-17-6-3-2-4-7-17/h2-4,6-7,9-12,19H,5,8,13-15H2,1H3,(H,21,23)"
Standard Inchi Key(RDKit),OFBYEIAJSLRBFG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)N2CCCC2C(=O)NCCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),372.49
MW Monoisotopic(RDKit),372.150763628
MolLogP(RDKit),2.50702
XLogP(SDF),
XLogP(CDK),3.196
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.847228070862356
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1004953.0235132583
qed,0.8472280708623556
Chi0,18.570703332935967
Chi1,12.481200378874176
TPSA,66.48
Chi0n,14.88924335518441
Chi0v,15.705739936112137
Chi1n,8.884663479210353
Chi1v,10.324726808010995
Chi2n,6.613460879400771
Chi2v,8.504015480273175
Chi3n,4.689640941949679
Chi3v,6.61203960279241
Chi4n,3.2280257006697264
Chi4v,4.884461547642555
MolMR,101.24850000000004
MolWt,372.49000000000007
fr_SH,0
Kappa1,18.606323237620156
Kappa2,8.014151797977211
Kappa3,4.136157359231372
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,848.384849164025
MolLogP,2.5070200000000007
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6495262787831864
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,37.12352637313439
SMR_VSA6,13.08951281182515
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.63419693347487
NHOHCount,1
