DLiP-ID,T002BY
DLiP-Mol-ID,18504
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26ClN3O2S/c25-19-9-6-16(7-10-19)18(14-23(29)30)13-21-15-31-22(27-21)5-1-4-20-11-8-17-3-2-12-26-24(17)28-20/h6-11,15,18H,1-5,12-14H2,(H,26,28)(H,29,30)"
Standard Inchi Key(RDKit),HVRQQWLXXYKJKU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(Cc1csc(CCCc2ccc3c(n2)NCCC3)n1)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),456.011
MW Monoisotopic(RDKit),455.143425752
MolLogP(RDKit),5.5259
XLogP(SDF),
XLogP(CDK),4.204
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.11
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.443579296691657
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15117829.992392456
qed,0.4435792966916569
Chi0,21.631181265251037
Chi1,15.063683283512807
TPSA,75.11
Chi0n,17.31175824344622
Chi0v,18.8841837703924
Chi1n,10.69818477735976
Chi1v,11.955802061623881
Chi2n,7.9772460453044
Chi2v,9.35633566699728
Chi3n,5.5926506421844415
Chi3v,6.802041169882368
Chi4n,3.992342239438211
Chi4v,4.971483666918875
MolMR,125.33650000000003
MolWt,456.0110000000002
fr_SH,0
Kappa1,21.779235977581482
Kappa2,10.246124117879692
Kappa3,6.048562727358727
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1035.5586048473963
MolLogP,5.525900000000005
