DLiP-ID,T003GK
DLiP-Mol-ID,20256
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H9F3O2/c15-14(16,17)12-3-1-2-11(8-12)9-4-6-10(7-5-9)13(18)19/h1-8H,(H,18,19)"
Standard Inchi Key(RDKit),LFMPHDUPXVEMAB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(-c2cccc(C(F)(F)F)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),266.218
MW Monoisotopic(RDKit),266.055464188
MolLogP(RDKit),4.0706
XLogP(SDF),
XLogP(CDK),4.502
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.889121891744786
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,16566.63364509333
qed,0.8891218917447855
Chi0,14.043605595440512
Chi1,8.876028663351637
TPSA,37.3
Chi0n,9.60815745850851
Chi0v,9.60815745850851
Chi1n,5.387412062587588
Chi1v,5.387412062587588
Chi2n,3.9610664955243187
Chi2v,3.9610664955243187
Chi3n,2.655082003308902
Chi3v,2.655082003308902
Chi4n,1.680340114384183
Chi4v,1.680340114384183
MolMR,63.839300000000016
MolWt,266.21799999999996
fr_SH,0
Kappa1,13.139209677934183
Kappa2,4.758957202373438
Kappa3,2.9323935953188904
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
