DLiP-ID,C001SS
DLiP-Mol-ID,32861
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10ClN3O2/c16-11-4-1-10(2-5-11)3-8-15-17-13-7-6-12(19(20)21)9-14(13)18-15/h1-9H,(H,17,18)/b8-3+"
Standard Inchi Key(RDKit),CCEZORMUHXOROV-FPYGCLRLSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc2[nH]c(/C=C/c3ccc(Cl)cc3)nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),299.717
MW Monoisotopic(RDKit),299.04615424
MolLogP(RDKit),4.2949
XLogP(SDF),
XLogP(CDK),4.056
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.578810812131481
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,88810.84406771621
qed,0.5788108121314812
Chi0,14.819626477379408
Chi1,10.114193540729628
TPSA,71.82
Chi0n,10.785040667643504
Chi0v,11.540969613661959
Chi1n,6.195035680706126
Chi1v,6.573000153715353
Chi2n,4.465490154594031
Chi2v,4.901925935066016
Chi3n,2.999433815160803
Chi3v,3.251410130500288
Chi4n,1.9554809733486984
Chi4v,2.0814691310184417
MolMR,83.12810000000003
MolWt,299.71700000000004
