DLiP-ID,T001WG
DLiP-Mol-ID,17838
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H29N3O5/c1-34-23-8-3-9-24(35-2)25(23)19-12-10-18(11-13-19)16-21(27(32)33)29-26(31)22-7-5-15-30(22)20-6-4-14-28-17-20/h3-4,6,8-14,17,21-22H,5,7,15-16H2,1-2H3,(H,29,31)(H,32,33)/t21-,22-/m0/s1"
Standard Inchi Key(RDKit),GMZQXSJOGNIVAK-VXKWHMMOSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2c2cccnc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.545
MW Monoisotopic(RDKit),475.210721028
MolLogP(RDKit),3.5467
XLogP(SDF),
XLogP(CDK),1.837
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),100.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.488123090482666
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,110897805.08935057
qed,0.48812309048266617
Chi0,24.785881803630282
Chi1,17.011570350697117
TPSA,100.99000000000001
Chi0n,19.808614572566654
Chi0v,19.808614572566654
Chi1n,11.516507644677677
Chi1v,11.516507644677677
Chi2n,8.400637454478224
Chi2v,8.400637454478224
Chi3n,6.257868872492485
Chi3v,6.257868872492485
Chi4n,4.518885279721719
Chi4v,4.518885279721719
MolMR,132.85750000000002
MolWt,475.54500000000024
fr_SH,0
Kappa1,24.06720373484391
Kappa2,10.904072393023608
Kappa3,5.371337441553371
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1144.9440650843992
MolLogP,3.5467000000000013
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.476786558766765
SMR_VSA1,24.169327670584444
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,31.34614652707395
SMR_VSA6,25.66426121931812
SMR_VSA7,72.55444225107765
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
