DLiP-ID,T007IB
DLiP-Mol-ID,25615
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24N4O5/c25-22(26)15-8-9-19-16(11-15)12-20(33-19)24(32)28-10-4-7-18(28)23(31)27-17(13-21(29)30)14-5-2-1-3-6-14/h1-3,5-6,8-9,11-12,17-18H,4,7,10,13H2,(H3,25,26)(H,27,31)(H,29,30)/t17?,18-/m1/s1"
Standard Inchi Key(RDKit),XYCWCOIUUFRLCR-QRWMCTBCSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc2oc(C(=O)N3CCC[C@@H]3C(=O)NC(CC(=O)O)c3ccccc3)cc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),448.479
MW Monoisotopic(RDKit),448.174669868
MolLogP(RDKit),2.65367
XLogP(SDF),
XLogP(CDK),2.369
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),149.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.322343916212336
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,35115356.034104094
qed,0.32234391621233605
