DLiP-ID,J100BV
DLiP-Mol-ID,37129
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N2O7S/c1-15(2)23(24(29)30)25-20-12-13-21(19-7-5-4-6-18(19)20)26(14-22(27)28)34(31,32)17-10-8-16(33-3)9-11-17/h4-13,15,23,25H,14H2,1-3H3,(H,27,28)(H,29,30)/t23-/m1/s1"
Standard Inchi Key(RDKit),CNHILYBUPCHNQD-HSZRJFAPSA-N
Canonical SMILES(RDKit),COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@@H](C(=O)O)C(C)C)c3ccccc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),486.546
MW Monoisotopic(RDKit),486.146072172
MolLogP(RDKit),3.6494
XLogP(SDF),
XLogP(CDK),4.05
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),133.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.395485302004478
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,24043454.762966674
qed,0.39548530200447757
Chi0,25.043241116511
Chi1,16.05578644154415
TPSA,133.24
Chi0n,18.926440540745112
Chi0v,19.74293712167284
Chi1n,10.456039158080745
Chi1v,11.896102486881386
Chi2n,7.963043585612561
Chi2v,9.82535386164212
Chi3n,5.339773351133404
Chi3v,7.113729608345988
Chi4n,3.6050120480591863
Chi4v,5.038068549896369
