DLiP-ID,T003MS
DLiP-Mol-ID,20510
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H27N3O3/c27-22(9-5-13-25-21-8-3-4-12-24-21)26-16-17-10-11-18-6-1-2-7-20(18)19(14-17)15-23(28)29/h1-4,6-8,10,12,19H,5,9,11,13-16H2,(H,24,25)(H,26,27)(H,28,29)"
Standard Inchi Key(RDKit),LTTIHWWYCLBIKC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC1CC(CNC(=O)CCCNc2ccccn2)=CCc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),393.487
MW Monoisotopic(RDKit),393.205241724
MolLogP(RDKit),3.521
XLogP(SDF),
XLogP(CDK),2.437
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.447851880204785
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4013337.0730072875
qed,0.44785188020478545
Chi0,20.476480726871785
Chi1,14.114193540729628
