DLiP-ID,C100IM
DLiP-Mol-ID,36483
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15NO3/c1-11-7-8-15-13(9-11)17(16(18)20-15)10-12-5-3-4-6-14(12)19-2/h3-9H,10H2,1-2H3"
Standard Inchi Key(RDKit),GIEWDXYFECFVMV-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccccc1Cn1c(=O)oc2ccc(C)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),269.3
MW Monoisotopic(RDKit),269.10519334
MolLogP(RDKit),2.95982
XLogP(SDF),
XLogP(CDK),3.195
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.733937795255572
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,54399.04943270104
qed,0.7339377952555718
Chi0,14.11251969619286
Chi1,9.685871848001629
TPSA,44.370000000000005
Chi0n,11.420517132405477
Chi0v,11.420517132405477
Chi1n,6.407123764403871
Chi1v,6.407123764403871
Chi2n,4.737140493290862
Chi2v,4.737140493290862
Chi3n,3.343871396995821
Chi3v,3.343871396995821
Chi4n,2.3258127545595983
Chi4v,2.3258127545595983
MolMR,77.30700000000003
MolWt,269.29999999999995
fr_SH,0
Kappa1,12.539082327374338
Kappa2,4.886256197404567
Kappa3,2.0918597485099846
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,813.9452035667888
MolLogP,2.9598200000000014
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1277437643850714
SMR_VSA1,9.154013890853395
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,7.109797541277533
SMR_VSA7,64.14207246892654
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.76400426165534
NHOHCount,0
PEOE_VSA1,9.154013890853395
PEOE_VSA2,4.567099647791355
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
