DLiP-ID,I0007S
DLiP-Mol-ID,27993
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N4O/c1-16-17(2)23(28-19-10-12-25-20(13-19)15-29)8-7-22(16)26-11-9-18-14-27-24-6-4-3-5-21(18)24/h3-8,10,12-14,26-27,29H,9,11,15H2,1-2H3,(H,25,28)"
Standard Inchi Key(RDKit),DAOSFFINBCOBEQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c(NCCc2c[nH]c3ccccc23)ccc(Nc2ccnc(CO)c2)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),386.499
MW Monoisotopic(RDKit),386.210661452
MolLogP(RDKit),5.07024
XLogP(SDF),
XLogP(CDK),3.334
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.357757887907163
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,6369663.451968379
qed,0.35775788790716306
Chi0,20.216967702877945
Chi1,14.152198343190415
TPSA,72.97
Chi0n,16.78925022645582
Chi0v,16.78925022645582
Chi1n,9.873436503313783
Chi1v,9.873436503313783
Chi2n,7.265925656944565
Chi2v,7.265925656944565
Chi3n,5.429457387950226
Chi3v,5.429457387950226
Chi4n,3.615795625465012
Chi4v,3.615795625465012
MolMR,119.85090000000002
MolWt,386.4990000000002
fr_SH,0
Kappa1,19.025899030525586
Kappa2,8.369043624535019
Kappa3,4.0986010400351
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1132.896019926228
MolLogP,5.0702400000000045
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4385132882249576
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,26.875177986820177
SMR_VSA6,17.178333613925236
SMR_VSA7,83.30890616085848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.3747331567162
NHOHCount,4
PEOE_VSA1,20.724083123800575
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,67.29048583970629
PEOE_VSA8,46.90352730527047
PEOE_VSA9,12.300809959361379
RingCount,4
SMR_VSA10,27.965083756131744
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
