DLiP-ID,C003HB
DLiP-Mol-ID,32207
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16N2O3S/c1-3-19-13(18)11-8(2)15-14(20)16-12(11)9-5-4-6-10(17)7-9/h4-7,12,17H,3H2,1-2H3,(H2,15,16,20)"
Standard Inchi Key(RDKit),LOBCDGHHHHGHFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1=C(C)NC(=S)NC1c1cccc(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),292.36
MW Monoisotopic(RDKit),292.088163372
MolLogP(RDKit),1.7481
XLogP(SDF),
XLogP(CDK),2.979
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),70.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.582250871976383
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,28533.75595499871
qed,0.5822508719763827
Chi0,14.698306133819765
Chi1,9.524075805453151
TPSA,70.59
Chi0n,11.265816594026226
Chi0v,12.082313174953953
Chi1n,6.269153758057492
Chi1v,6.677402048521355
Chi2n,4.385606276248298
Chi2v,4.793854566712161
Chi3n,2.968033436097412
Chi3v,3.1879466389111357
Chi4n,2.127630872381849
Chi4v,2.3985751115035563
MolMR,79.05020000000002
MolWt,292.36000000000007
fr_SH,0
Kappa1,14.331658747860137
Kappa2,5.91747421781339
Kappa3,2.9062451107358473
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
