DLiP-ID,T002GP
DLiP-Mol-ID,18711
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22FN3O2/c1-3-27-21(26)19(13-23)20(24-14-16-7-5-4-6-8-16)25-15(2)17-9-11-18(22)12-10-17/h4-12,15,24-25H,3,14H2,1-2H3/b20-19+/t15-/m1/s1"
Standard Inchi Key(RDKit),IETLYQVKZKEMKL-FZFLATATSA-N
Canonical SMILES(RDKit),CCOC(=O)/C(C#N)=C(\NCc1ccccc1)N[C@H](C)c1ccc(F)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),367.424
MW Monoisotopic(RDKit),367.169605164
MolLogP(RDKit),3.56438
XLogP(SDF),
XLogP(CDK),4.557
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.42389508400376
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,1045267.4852668913
qed,0.42389508400376047
Chi0,19.648053602125596
Chi1,13.04524385550833
TPSA,74.15
Chi0n,15.329390903706269
Chi0v,15.329390903706269
Chi1n,8.660477367634494
Chi1v,8.660477367634494
Chi2n,5.839002156933004
Chi2v,5.839002156933004
Chi3n,3.8843223221758363
Chi3v,3.8843223221758363
Chi4n,2.456065883566299
Chi4v,2.456065883566299
MolMR,100.50440000000005
MolWt,367.4240000000001
