DLiP-ID,P000AO
DLiP-Mol-ID,24608
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23ClN4O4S/c1-28(34(32,33)19-6-4-3-5-7-19)15-18-12-16(8-10-21(18)25)20(14-24(30)31)17-9-11-23-22(13-17)26-27-29(23)2/h3-13,20H,14-15H2,1-2H3,(H,30,31)/t20-/m0/s1"
Standard Inchi Key(RDKit),NICLDNFOUWEYPY-FQEVSTJZSA-N
Canonical SMILES(RDKit),CN(Cc1cc([C@H](CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),498.992
MW Monoisotopic(RDKit),498.112853896
MolLogP(RDKit),4.049
XLogP(SDF),
XLogP(CDK),3.51
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),105.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.392648668476402
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MKEAP1/MNRF2
Common Target Pref Name,MKEAP1/MNRF2
RDKit Descriptors
Ipc,42728039.00015615
qed,0.39264866847640234
Chi0,24.457454678884094
Chi1,16.16274092922623
TPSA,105.38999999999999
Chi0n,18.589442405013077
Chi0v,20.16186793195926
Chi1n,10.474070083191725
Chi1v,12.292097885001594
Chi2n,8.036630874060833
Chi2v,10.488715462666057
Chi3n,5.732374034447343
Chi3v,7.9187199585649255
Chi4n,3.907024571306779
Chi4v,5.2543417481837
MolMR,129.1516
MolWt,498.99200000000013
fr_SH,0
Kappa1,23.873698027859223
Kappa2,9.5353455621259
Kappa3,4.815852910945656
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1454.6217672923715
MolLogP,4.049000000000003
NOCount,8
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.6916426903976105
SMR_VSA1,18.318861563241466
SMR_VSA2,0.0
SMR_VSA3,19.299085830397324
SMR_VSA4,7.04767198267719
SMR_VSA5,23.778967550517752
SMR_VSA6,7.04767198267719
SMR_VSA7,88.44302554191005
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,201.9918753977919
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.099599919474123
PEOE_VSA4,4.305215991296234
PEOE_VSA5,5.098681808301038
PEOE_VSA6,53.212527396657045
PEOE_VSA7,47.02218981739904
PEOE_VSA8,31.580639731169676
PEOE_VSA9,16.833005816060044
RingCount,4
SMR_VSA10,38.626937766824476
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,498.112853896
NumHDonors,1
PEOE_VSA10,5.516700717616262
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,45.840387480196
SlogP_VSA3,28.41025672606917
