DLiP-ID,C001AW
DLiP-Mol-ID,32103
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C4H11NO3/c5-4(1-6,2-7)3-8/h6-8H,1-3,5H2"
Standard Inchi Key(RDKit),LENZDBCJOHFCAS-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(CO)(CO)CO
SMILES(SDF),
MW(SDF),
MW(RDKit),121.136
MW Monoisotopic(RDKit),121.073893212
MolLogP(RDKit),-2.3392
XLogP(SDF),
XLogP(CDK),-2.662
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),86.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),8
QED Weighted(RDKit),0.336831543077637
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,52.28341890015258
qed,0.3368315430776369
Chi0,6.621320343559643
Chi1,3.6819805153394642
TPSA,86.71000000000001
Chi0n,4.540311399249142
Chi0v,4.540311399249142
Chi1n,2.2980186044251476
Chi1v,2.2980186044251476
Chi2n,1.8367140847210515
Chi2v,1.8367140847210515
Chi3n,0.9446816720025198
Chi3v,0.9446816720025198
Chi4n,0.14999999999999994
Chi4v,0.14999999999999994
MolMR,28.175799999999995
MolWt,121.136
fr_SH,0
Kappa1,7.840000000000001
Kappa2,2.9852263467168973
