DLiP-ID,T006RV
DLiP-Mol-ID,24478
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19NO6/c1-5-10(2)18(23)25-8-13-14-12(6-7-19(13)9-20)15(21)11(3)17(24-4)16(14)22/h5-7,9,13H,8H2,1-4H3/b10-5-"
Standard Inchi Key(RDKit),VRZJVUPPQWDFAC-YHYXMXQVSA-N
Canonical SMILES(RDKit),C/C=C(/C)C(=O)OCC1C2=C(C=CN1C=O)C(=O)C(C)=C(OC)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),345.351
MW Monoisotopic(RDKit),345.121237328
MolLogP(RDKit),1.2189
XLogP(SDF),
XLogP(CDK),0.629
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),89.98
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.322045420166068
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,312408.12683802634
qed,0.3220454201660678
Chi0,18.723250160202095
Chi1,11.865809722754816
TPSA,89.97999999999999
Chi0n,14.490561465417814
Chi0v,14.490561465417814
Chi1n,7.662800377626596
Chi1v,7.662800377626596
Chi2n,5.598154891079847
Chi2v,5.598154891079847
Chi3n,4.226409647345344
Chi3v,4.226409647345344
Chi4n,2.6623046125118788
Chi4v,2.6623046125118788
MolMR,87.97000000000003
MolWt,345.3510000000001
fr_SH,0
Kappa1,18.37968701774691
Kappa2,7.292258696135465
Kappa3,3.171602127903046
fr_ArN,0
fr_COO,0
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,768.4357954077789
MolLogP,1.2189
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.399072866478961
SMR_VSA1,28.651874643887382
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,26.813052428219834
SMR_VSA6,13.716679505790452
SMR_VSA7,46.40357809542145
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.80620506616862
NHOHCount,0
PEOE_VSA1,14.373635638450576
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.076020106833881
PEOE_VSA7,26.847231705905752
PEOE_VSA8,28.492373010097516
PEOE_VSA9,13.151638370425495
RingCount,2
SMR_VSA10,23.945890486797847
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,345.12123732799995
NumHDonors,0
PEOE_VSA10,6.606881964512918
PEOE_VSA11,11.542409818021115
PEOE_VSA12,12.193340252481061
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,48.604320552586735
