DLiP-ID,T001CK
DLiP-Mol-ID,16969
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H32N2O5/c1-22(2,3)29-20(27)24-13-11-16-15-9-7-8-10-17(15)25(19(16)18(24)12-14-26)21(28)30-23(4,5)6/h7-10,18,26H,11-14H2,1-6H3"
Standard Inchi Key(RDKit),DTHAZWISDCZITF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(C)OC(=O)N1CCc2c(n(C(=O)OC(C)(C)C)c3ccccc23)C1CCO
SMILES(SDF),
MW(SDF),
MW(RDKit),416.518
MW Monoisotopic(RDKit),416.231122124
MolLogP(RDKit),4.6412
XLogP(SDF),
XLogP(CDK),3.867
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.771222354365938
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2868930.99561019
qed,0.7712223543659381
Chi0,22.267220234572104
Chi1,13.92665213399939
TPSA,81.0
Chi0n,18.689812419049645
Chi0v,18.689812419049645
Chi1n,10.387653569013917
Chi1v,10.387653569013917
Chi2n,9.64851113141078
Chi2v,9.64851113141078
Chi3n,4.921340443260838
Chi3v,4.921340443260838
Chi4n,3.9332968611450854
Chi4v,3.9332968611450854
MolMR,114.65780000000007
MolWt,416.51800000000014
fr_SH,0
Kappa1,22.152091039940935
Kappa2,7.945993904374621
Kappa3,4.457113388933827
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,948.8797703619819
MolLogP,4.641200000000005
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1550689754376195
SMR_VSA1,24.169327670584444
SMR_VSA2,0.0
SMR_VSA3,9.467009378641833
SMR_VSA4,0.0
SMR_VSA5,71.6280088951111
SMR_VSA6,13.151638370425493
SMR_VSA7,35.5228477603919
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,177.1047022027623
NHOHCount,1
PEOE_VSA1,14.580253302440804
PEOE_VSA2,4.899909730850478
PEOE_VSA3,14.156174015934997
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,66.01388500415436
PEOE_VSA8,18.537862584890288
PEOE_VSA9,17.252469541612683
RingCount,3
SMR_VSA10,23.089405073957888
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,416.23112212399997
NumHDonors,1
PEOE_VSA10,11.202101621967376
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.18648014187683
SlogP_VSA1,0.0
SlogP_VSA2,51.11375690775223
SlogP_VSA3,15.894547530526108
SlogP_VSA4,0.0
SlogP_VSA5,65.26246513676317
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,29.43042259299217
EState_VSA2,6.606881964512918
EState_VSA3,25.080327646613057
EState_VSA4,16.466376423778055
EState_VSA5,0.0
EState_VSA6,9.467009378641833
EState_VSA7,65.80789147199017
EState_VSA8,0.0
