DLiP-ID,P0005Z
DLiP-Mol-ID,23501
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22N4O/c1-11-8-15(22)20-14-7-5-6-13(16(14)19-11)12-9-18-21(10-12)17(2,3)4/h5-7,9-11,19H,8H2,1-4H3,(H,20,22)/t11-/m1/s1"
Standard Inchi Key(RDKit),HPSNXSAYALRMQW-LLVKDONJSA-N
Canonical SMILES(RDKit),C[C@@H]1CC(=O)Nc2cccc(-c3cnn(C(C)(C)C)c3)c2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),298.39
MW Monoisotopic(RDKit),298.179361324
MolLogP(RDKit),3.4477
XLogP(SDF),
XLogP(CDK),2.735
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.847500449898826
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,96252.81374603373
qed,0.847500449898826
Chi0,15.905412915006313
Chi1,10.342355158540421
TPSA,58.95
Chi0n,13.473883877788083
Chi0v,13.473883877788083
Chi1n,7.5933230123637285
Chi1v,7.5933230123637285
Chi2n,6.870219947090799
Chi2v,6.870219947090799
Chi3n,3.8017602380897304
Chi3v,3.8017602380897304
Chi4n,2.658055894886832
Chi4v,2.658055894886832
MolMR,88.99040000000004
MolWt,298.39
fr_SH,0
Kappa1,14.62951644757799
Kappa2,5.1585582333207105
Kappa3,2.7073877441328578
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,711.6892841696113
MolLogP,3.447700000000002
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.0721993649780805
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,9.780484743446223
SMR_VSA4,0.0
SMR_VSA5,45.69653650321982
SMR_VSA6,10.633577208012662
SMR_VSA7,30.592788348610984
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.27068301142532
NHOHCount,2
PEOE_VSA1,10.633577208012662
PEOE_VSA2,9.476340119217006
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,33.761315867224106
PEOE_VSA8,29.786409007081037
PEOE_VSA9,23.110541373363546
RingCount,3
SMR_VSA10,17.28195227871863
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,298.179361324
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,21.72950530194569
SlogP_VSA3,10.333462436455168
SlogP_VSA4,0.0
SlogP_VSA5,34.11577042168851
SlogP_VSA6,30.592788348610984
SlogP_VSA7,0.0
