DLiP-ID,T0075M
DLiP-Mol-ID,25063
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H33NO7S/c1-30-22-16-20(17-23(31-2)24(22)32-3)12-9-15-33-25(27)21-13-7-8-14-26(21)34(28,29)18-19-10-5-4-6-11-19/h4-6,10-11,16-17,21H,7-9,12-15,18H2,1-3H3/t21-/m0/s1"
Standard Inchi Key(RDKit),WUVVOAPMLQTLBJ-NRFANRHFSA-N
Canonical SMILES(RDKit),COc1cc(CCCOC(=O)[C@@H]2CCCCN2S(=O)(=O)Cc2ccccc2)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),491.606
MW Monoisotopic(RDKit),491.197773396
MolLogP(RDKit),3.5727
XLogP(SDF),
XLogP(CDK),3.475
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),91.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.350508335520432
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,35354463.13006797
qed,0.35050833552043154
Chi0,24.553830996061404
Chi1,16.389708537764772
TPSA,91.37
Chi0n,19.988856322220254
Chi0v,20.80535290314798
Chi1n,11.382464388820697
Chi1v,12.9916296963471
Chi2n,8.168758697710235
Chi2v,10.090279803756218
Chi3n,5.8535792223208345
Chi3v,7.703365388774957
Chi4n,4.166262222354326
Chi4v,5.932244644957457
MolMR,128.78880000000004
MolWt,491.6060000000002
fr_SH,0
Kappa1,25.83583858327223
Kappa2,12.077999322563375
Kappa3,6.4167146699233335
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1031.1838836462234
MolLogP,3.572700000000002
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5810240127347386
SMR_VSA1,32.159785983600955
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,43.8988025505248
SMR_VSA6,34.48103099425809
SMR_VSA7,53.59147246262526
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
