DLiP-ID,T007UX
DLiP-Mol-ID,26169
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H35NO4/c1-21(2,3)18(23)19(24)22-14-8-7-13-17(22)20(25)26-15-9-12-16-10-5-4-6-11-16/h16-17H,4-15H2,1-3H3"
Standard Inchi Key(RDKit),YXBURMMYJOWGPB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCC1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),365.514
MW Monoisotopic(RDKit),365.2566086
MolLogP(RDKit),3.8864
XLogP(SDF),
XLogP(CDK),4.717
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.406913935124638
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,509591.8553550642
qed,0.4069139351246378
Chi0,19.15648977056287
Chi1,12.303549018280203
TPSA,63.68000000000001
Chi0n,16.720188669973236
Chi0v,16.720188669973236
Chi1n,10.324873465486784
Chi1v,10.324873465486784
Chi2n,8.903012389029538
Chi2v,8.903012389029538
Chi3n,5.636943185509984
Chi3v,5.636943185509984
Chi4n,3.9876892842862675
Chi4v,3.9876892842862675
MolMR,100.58200000000008
MolWt,365.51400000000024
fr_SH,0
Kappa1,20.916279227306667
Kappa2,9.518163581550294
Kappa3,5.815499566785217
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,502.6306917462326
MolLogP,3.8864000000000027
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.822570661273628
SMR_VSA1,19.120474506015515
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,11.332896515558172
SMR_VSA5,91.02126865747995
SMR_VSA6,13.151638370425493
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.38437620854484
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,52.87531971370193
PEOE_VSA7,38.02201416079144
PEOE_VSA8,11.959746875309355
PEOE_VSA9,6.606881964512918
RingCount,2
SMR_VSA10,17.659729963668294
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,365.2566086
NumHDonors,0
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,5.783244946364939
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,41.753118894092225
SlogP_VSA3,19.120474506015515
SlogP_VSA4,11.332896515558172
SlogP_VSA5,84.97942782833199
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
