DLiP-ID,T003DK
DLiP-Mol-ID,20122
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N4O2S/c1-17(27-2)24(31)30-26-29-23-20(15-9-10-16-21(23)33-26)25(32)28-22(18-11-5-3-6-12-18)19-13-7-4-8-14-19/h3-8,11-14,17,20,22,27H,9-10,15-16H2,1-2H3,(H,28,32)(H,29,30,31)/t17-,20?/m0/s1"
Standard Inchi Key(RDKit),KZPLVUDQYHXKFQ-DIMJTDRSSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)Nc1nc2c(s1)CCCCC2C(=O)NC(c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),462.619
MW Monoisotopic(RDKit),462.2089472
MolLogP(RDKit),4.4053
XLogP(SDF),
XLogP(CDK),3.01
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),83.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.454496393007851
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,37954333.99483388
qed,0.4544963930078515
Chi0,23.208531534440652
Chi1,16.06288194571337
TPSA,83.12
Chi0n,19.005939091102878
Chi0v,19.822435672030604
Chi1n,11.44495527388406
Chi1v,12.261451854811787
Chi2n,8.38838454123771
Chi2v,9.472006297363372
Chi3n,6.129591089284127
Chi3v,7.1759514286117
Chi4n,4.132060705823237
Chi4v,5.19993997969799
MolMR,132.43109999999993
MolWt,462.6190000000001
fr_SH,0
Kappa1,23.139066758514033
Kappa2,10.724681920078307
Kappa3,5.487157117334831
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1044.6860471194393
MolLogP,4.405300000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5908400479880707
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,0.0
SMR_VSA5,50.60861139585198
SMR_VSA6,12.36446058668352
SMR_VSA7,82.36164885655987
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,198.3867656387281
NHOHCount,3
PEOE_VSA1,15.950365812018994
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,67.0844923075421
PEOE_VSA7,44.36077703453984
PEOE_VSA8,4.8771471937013
PEOE_VSA9,23.695515699305776
RingCount,4
SMR_VSA10,28.28270381647708
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,462.2089472
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,5.131558479839333
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,29.88785079147537
SlogP_VSA3,16.00989599106965
SlogP_VSA4,0.0
SlogP_VSA5,59.843927115721755
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
