DLiP-ID,I001DB
DLiP-Mol-ID,29783
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H33N5O4/c1-4-18(2)24(32-27(28)29)25(34)30-17-23(33)31-22(26(35)36-3)16-21-14-12-20(13-15-21)11-10-19-8-6-5-7-9-19/h5-9,12-15,18,22,24H,4,16-17H2,1-3H3,(H,30,34)(H,31,33)(H4,28,29,32)/t18-,22-,24+/m0/s1"
Standard Inchi Key(RDKit),XGGOZVAZONWKNW-JKFKMHIGSA-N
Canonical SMILES(RDKit),CC[C@H](C)[C@@H](NC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccc(C#Cc2ccccc2)cc1)C(=O)OC
SMILES(SDF),
MW(SDF),
MW(RDKit),491.592
MW Monoisotopic(RDKit),491.253254536
MolLogP(RDKit),1.30067
XLogP(SDF),
XLogP(CDK),4.185
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),146.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.14654084565381
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,IL2_IL2R
Common Target Pref Name,IL2/IL2R
RDKit Descriptors
Ipc,62629019.528248176
qed,0.14654084565381031
Chi0,26.501424753254103
Chi1,17.226784405860386
TPSA,146.39999999999998
Chi0n,20.759867004880235
Chi0v,20.759867004880235
