DLiP-ID,P000DE
DLiP-Mol-ID,25256
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20ClFN4O3/c1-12-15(21)5-4-14(18(12)20)19(26)22-16-11-13(25(27)28)3-6-17(16)24-9-7-23(2)8-10-24/h3-6,11H,7-10H2,1-2H3,(H,22,26)"
Standard Inchi Key(RDKit),QHWMIGPLLWYRIR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c(F)ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2N2CCN(C)CC2)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),406.845
MW Monoisotopic(RDKit),406.1207964
MolLogP(RDKit),3.69982
XLogP(SDF),
XLogP(CDK),3.866
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),78.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.618322351972375
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/MLL1
Common Target Pref Name,WDR5/MLL1
RDKit Descriptors
Ipc,1628946.0241338152
qed,0.6183223519723745
Chi0,20.42192077295136
Chi1,13.273764703227075
TPSA,78.71999999999998
Chi0n,15.53749307460424
Chi0v,16.293422020622696
Chi1n,8.755292719214083
Chi1v,9.13325719222331
Chi2n,6.736938352653195
Chi2v,7.114902825662423
Chi3n,4.848020714977762
Chi3v,5.335094133104985
Chi4n,3.0873351801034943
Chi4v,3.3264194138283245
MolMR,106.90660000000004
MolWt,406.84500000000025
fr_SH,0
Kappa1,20.03534326623064
Kappa2,8.116559134041909
Kappa3,4.07472388483498
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,929.635024390776
MolLogP,3.6998200000000026
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.947430519546418
SMR_VSA1,14.108263280564312
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,43.4433959411843
SMR_VSA7,62.41291074925483
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,166.39008994917432
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,14.908855452837393
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,32.17051038775264
PEOE_VSA8,43.87521125227052
PEOE_VSA9,26.884168403623118
RingCount,3
SMR_VSA10,34.570278443634706
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,406.1207964
NumHDonors,1
