DLiP-ID,J00001
DLiP-Mol-ID,26677
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24F3N3O/c1-15-5-2-3-6-16(15)14-27-11-9-18(10-12-27)25-20(28)26-19-8-4-7-17(13-19)21(22,23)24/h2-8,13,18H,9-12,14H2,1H3,(H2,25,26,28)"
Standard Inchi Key(RDKit),NTVLCEYGKMDMPJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1CN1CCC(NC(=O)Nc2cccc(C(F)(F)F)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.437
MW Monoisotopic(RDKit),391.187147048
MolLogP(RDKit),4.79992
XLogP(SDF),
XLogP(CDK),4.384
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),44.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.78639425012327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,1650735.9844278179
qed,0.7863942501232695
Chi0,20.148053602125593
Chi1,13.308681653729208
TPSA,44.370000000000005
Chi0n,15.721041633630875
Chi0v,15.721041633630875
Chi1n,9.327196733147643
Chi1v,9.327196733147643
Chi2n,7.153931562973442
Chi2v,7.153931562973442
Chi3n,5.0257690249560305
Chi3v,5.0257690249560305
Chi4n,3.389660907086761
Chi4v,3.389660907086761
MolMR,103.07640000000006
MolWt,391.4370000000001
fr_SH,0
Kappa1,20.20087767998901
Kappa2,8.645663065679631
Kappa3,5.48263205227109
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,814.5382609953557
MolLogP,4.799920000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.4693621296839439
SMR_VSA1,17.96578232709628
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,38.528276198046655
SMR_VSA6,18.406301415831482
SMR_VSA7,65.22129102278387
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
