DLiP-ID,C000GV
DLiP-Mol-ID,30794
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H11BrN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1"
Standard Inchi Key(RDKit),WOVKYSAHUYNSMH-RRKCRQDMSA-N
Canonical SMILES(RDKit),O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br
SMILES(SDF),
MW(SDF),
MW(RDKit),307.1
MW Monoisotopic(RDKit),305.985133552
MolLogP(RDKit),-1.0602
XLogP(SDF),
XLogP(CDK),-0.0220000000000003
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.645890381505806
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,7965.508655134308
qed,0.6458903815058056
Chi0,12.576985790260121
Chi1,8.024075805453151
TPSA,104.55000000000001
Chi0n,8.66796477003229
Chi0v,10.253961309146995
Chi1n,4.979819620087545
Chi1v,5.772817889644897
Chi2n,3.758392526268739
Chi2v,4.61272942544326
Chi3n,2.6186830775142353
Chi3v,3.1835540116184964
Chi4n,1.7248777727695057
Chi4v,2.044591395301068
MolMR,60.64230000000002
MolWt,307.1
fr_SH,0
Kappa1,12.495707641781832
Kappa2,4.728391225795915
Kappa3,2.3427337910171246
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,524.8528777321774
MolLogP,-1.0602
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.335396041923273
SMR_VSA1,14.94991774348146
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,24.856655569157482
