DLiP-ID,T0049N
DLiP-Mol-ID,16552
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19NO3/c1-12-17-11-20(24-4)19(23-3)10-16(17)9-18(21-12)15-7-5-6-14(8-15)13(2)22/h5-11H,1-4H3"
Standard Inchi Key(RDKit),NLLFHHHOESRBER-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2cc(-c3cccc(C(C)=O)c3)nc(C)c2cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),321.376
MW Monoisotopic(RDKit),321.136493468
MolLogP(RDKit),4.43002
XLogP(SDF),
XLogP(CDK),3.819
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),48.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.667009060185161
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,295614.0833364148
qed,0.6670090601851608
Chi0,17.26722023457211
Chi1,11.528407103102726
TPSA,48.42
Chi0n,14.213410351218931
Chi0v,14.213410351218931
Chi1n,7.679500624738276
Chi1v,7.679500624738276
Chi2n,5.658224285712043
Chi2v,5.658224285712043
Chi3n,4.090739740413187
Chi3v,4.090739740413187
Chi4n,2.793322315685522
Chi4v,2.793322315685522
MolMR,95.02450000000003
MolWt,321.3760000000001
fr_SH,0
Kappa1,15.994630332491234
Kappa2,6.318088533814179
Kappa3,2.8274420401186444
fr_ArN,0
