DLiP-ID,I000Y4
DLiP-Mol-ID,29139
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H40N4O3/c1-20(30-5)26(34)32-25(29(2,3)4)28(36)33-18-12-17-23(33)19-31-27(35)24(21-13-8-6-9-14-21)22-15-10-7-11-16-22/h6-11,13-16,20,23-25,30H,12,17-19H2,1-5H3,(H,31,35)(H,32,34)/t20-,23-,25+/m0/s1"
Standard Inchi Key(RDKit),PUCIIZPAQVRBTQ-GRYUFTJMSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1CNC(=O)C(c1ccccc1)c1ccccc1)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),492.664
MW Monoisotopic(RDKit),492.31004114
MolLogP(RDKit),3.0645
XLogP(SDF),
XLogP(CDK),3.651
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.501898987445264
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,91336848.85393594
qed,0.5018989874452636
Chi0,26.29431797206756
Chi1,17.129247520975692
TPSA,90.53999999999999
Chi0n,22.083289360292504
Chi0v,22.083289360292504
Chi1n,12.788574411724824
Chi1v,12.788574411724824
Chi2n,10.645204942653791
Chi2v,10.645204942653791
Chi3n,6.926000708751896
Chi3v,6.926000708751896
Chi4n,4.657550221838773
Chi4v,4.657550221838773
MolMR,142.37909999999985
MolWt,492.66400000000016
fr_SH,0
Kappa1,27.39842020139534
Kappa2,12.170655856639893
Kappa3,6.724161893556381
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,980.3197242333856
MolLogP,3.0645000000000033
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7308220954497728
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,20.850275542869472
SMR_VSA4,5.41499046939678
SMR_VSA5,64.58002057821979
SMR_VSA6,20.13718479450234
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
