DLiP-ID,C001IP
DLiP-Mol-ID,32437
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12ClNOS/c15-10-14(17)16-12-8-4-5-9-13(12)18-11-6-2-1-3-7-11/h1-9H,10H2,(H,16,17)"
Standard Inchi Key(RDKit),NSQCHYBQXPMOKS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCl)Nc1ccccc1Sc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),277.776
MW Monoisotopic(RDKit),277.032812684
MolLogP(RDKit),4.0151
XLogP(SDF),
XLogP(CDK),3.708
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.855593401474138
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16105.76904778029
qed,0.8555934014741382
Chi0,12.794682450997078
Chi1,8.792024997884274
TPSA,29.1
Chi0n,9.597720257830135
Chi0v,11.170145784776317
Chi1n,5.471220939914078
Chi1v,6.822240004666653
Chi2n,3.5930809758663558
Chi2v,4.975697289429192
Chi3n,2.253532148390518
Chi3v,3.5800486709515527
Chi4n,1.4580250815794937
Chi4v,2.447629710829583
MolMR,76.35670000000003
MolWt,277.776
fr_SH,0
Kappa1,12.992853548266655
Kappa2,6.473859764701255
Kappa3,3.519641074963522
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,530.3270177063584
MolLogP,4.015100000000002
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1973233054521866
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,11.19679204897667
SMR_VSA7,54.59730361615449
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.35614209025296
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.600939890232516
PEOE_VSA6,42.093720291699164
PEOE_VSA7,24.26546827384644
PEOE_VSA8,9.79096695103555
