DLiP-ID,P0002H
DLiP-Mol-ID,22680
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H36N6O/c1-20-12-31-33(15-20)17-24-13-29-21(2)16-32(24)18-27(35)34-19-28(3,4)25-14-30-23(11-26(25)34)10-22-8-6-5-7-9-22/h5-9,11-12,14-15,21,24,29H,10,13,16-19H2,1-4H3/p+1/t21-,24-/m1/s1"
Standard Inchi Key(RDKit),CLHWAAAYYHMVJX-ZJSXRUAMSA-O
Canonical SMILES(RDKit),Cc1cnn(C[C@H]2C[NH2+][C@H](C)CN2CC(=O)N2CC(C)(C)c3cnc(Cc4ccccc4)cc32)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),473.645
MW Monoisotopic(RDKit),473.30233622409
MolLogP(RDKit),2.13782
XLogP(SDF),
XLogP(CDK),2.456
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.87
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.595589479833692
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP-BIR3/SMAC
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,101081719.09774244
qed,0.5955894798336925
Chi0,24.578775022443732
Chi1,16.78082676583142
TPSA,70.87
Chi0n,21.315160185358454
Chi0v,21.315160185358454
Chi1n,12.684600763786397
Chi1v,12.684600763786397
Chi2n,10.990612609055146
Chi2v,10.990612609055146
Chi3n,7.389116733806067
Chi3v,7.389116733806067
Chi4n,5.478459584394539
Chi4v,5.478459584394539
MolMR,137.4433999999999
MolWt,473.6450000000002
fr_SH,0
Kappa1,23.699772184508934
Kappa2,9.550142571949523
Kappa3,5.160462010861033
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1187.1680028697886
MolLogP,2.1378200000000023
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.3521360574265469
SMR_VSA1,10.111325788078153
SMR_VSA2,0.0
SMR_VSA3,19.66437299524391
SMR_VSA4,0.0
SMR_VSA5,58.15919895529379
SMR_VSA6,31.07893535450078
SMR_VSA7,77.37301559554834
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
