DLiP-ID,C000DQ
DLiP-Mol-ID,30667
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14F3NO4S/c1-15(22,16(17,18)19)14(21)20-11-7-9-13(10-8-11)25(23,24)12-5-3-2-4-6-12/h2-10,22H,1H3,(H,20,21)/t15-/m0/s1"
Standard Inchi Key(RDKit),LJLXQHHFAKVTNP-HNNXBMFYSA-N
Canonical SMILES(RDKit),C[C@](O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),373.352
MW Monoisotopic(RDKit),373.059563588
MolLogP(RDKit),2.7712
XLogP(SDF),
XLogP(CDK),2.35
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.863326534883549
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,214204.11750416987
qed,0.8633265348835489
Chi0,18.880468888623984
Chi1,11.459361996684969
TPSA,83.47
Chi0n,12.910252599089725
Chi0v,13.726749180017451
Chi1n,6.968310083861825
Chi1v,8.451473331456217
Chi2n,5.364963522043269
Chi2v,7.314646139011886
Chi3n,3.4701140100764887
Chi3v,5.25564994373884
Chi4n,1.8346795196606815
Chi4v,3.116672621808576
MolMR,83.64430000000004
MolWt,373.352
fr_SH,0
Kappa1,18.94166371294369
Kappa2,6.489393113710374
Kappa3,3.8251788722269686
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
