DLiP-ID,T007XP
DLiP-Mol-ID,26275
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H28N4O3/c31-24(30-23(16-25(32)33)21-7-2-12-27-17-21)15-19-5-1-4-18(14-19)8-10-22-11-9-20-6-3-13-28-26(20)29-22/h1-2,4-5,7,9,11-12,14,17,23H,3,6,8,10,13,15-16H2,(H,28,29)(H,30,31)(H,32,33)/t23-/m0/s1"
Standard Inchi Key(RDKit),ZFAFRTHFBFICQH-QHCPKHFHSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)Cc1cccc(CCc2ccc3c(n2)NCCC3)c1)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),444.535
MW Monoisotopic(RDKit),444.216140756
MolLogP(RDKit),3.4946
XLogP(SDF),
XLogP(CDK),2.679
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.46671899986446
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,34076603.251773186
qed,0.46671899986445975
Chi0,23.045394827624122
Chi1,16.063683283512805
TPSA,104.21000000000001
Chi0n,18.45873779681932
Chi0v,18.45873779681932
Chi1n,11.2820065004397
Chi1v,11.2820065004397
Chi2n,8.341698143700492
Chi2v,8.341698143700492
Chi3n,5.778451778493474
Chi3v,5.778451778493474
Chi4n,4.115272113923642
Chi4v,4.115272113923642
MolMR,125.97520000000003
MolWt,444.5350000000002
fr_SH,0
Kappa1,22.453803139325597
Kappa2,10.720154421690506
Kappa3,6.3817507760176655
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1117.5296784429293
