DLiP-ID,T004JR
DLiP-Mol-ID,19169
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N4O4/c1-29-19-10-4-8-17(13-19)25-21(27)23-15-6-3-7-16(12-15)24-22(28)26-18-9-5-11-20(14-18)30-2/h3-14H,1-2H3,(H2,23,25,27)(H2,24,26,28)"
Standard Inchi Key(RDKit),OINCIJVZVCFJBI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(NC(=O)Nc2cccc(NC(=O)Nc3cccc(OC)c3)c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),406.442
MW Monoisotopic(RDKit),406.164105184
MolLogP(RDKit),4.9918
XLogP(SDF),
XLogP(CDK),2.772
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),100.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.463117934481054
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,5650305.504529874
qed,0.46311793448105426
Chi0,21.34672421487486
Chi1,14.550376490957335
TPSA,100.72000000000001
Chi0n,16.561196392130963
Chi0v,16.561196392130963
Chi1n,9.097094776993208
Chi1v,9.097094776993208
Chi2n,6.2029646111798575
Chi2v,6.2029646111798575
Chi3n,4.0335218352057005
Chi3v,4.0335218352057005
Chi4n,2.6632346403586635
Chi4v,2.6632346403586635
MolMR,117.7128
MolWt,406.4420000000001
fr_SH,0
Kappa1,20.532104963511205
Kappa2,9.83155006858711
Kappa3,5.8981483953395255
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,960.1559359243379
MolLogP,4.991800000000003
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,2
