DLiP-ID,C003DH
DLiP-Mol-ID,33875
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H14N4S/c1-3-7-13-11(16)15-14-9(2)10-6-4-5-8-12-10/h3-6,8H,1,7H2,2H3,(H2,13,15,16)/b14-9+"
Standard Inchi Key(RDKit),FDKSOUXJZSXTHD-NTEUORMPSA-N
Canonical SMILES(RDKit),C=CCNC(=S)N/N=C(\C)c1ccccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),234.328
MW Monoisotopic(RDKit),234.093917448
MolLogP(RDKit),1.4557
XLogP(SDF),
XLogP(CDK),2.431
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.358242566218846
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,4325.6640950249
qed,0.3582425662188457
Chi0,11.803118619434356
Chi1,7.736382105218447
TPSA,49.31
Chi0n,9.103640389785005
Chi0v,9.920136970712731
Chi1n,4.841868534344843
Chi1v,5.250116824808705
Chi2n,3.0226950152762218
Chi2v,3.4309433057400844
Chi3n,1.7676918095443563
Chi3v,2.0033164697592905
Chi4n,0.9730722298306159
Chi4v,1.1020491096227134
MolMR,70.38140000000003
MolWt,234.328
fr_SH,0
Kappa1,12.320175438596491
Kappa2,6.6820520898970805
Kappa3,4.183884297520661
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,386.2308529554859
MolLogP,1.4557
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.5139319902252346
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,15.726558522063925
SMR_VSA4,5.101407525739723
SMR_VSA5,6.923737199690624
SMR_VSA6,6.544756405912575
SMR_VSA7,42.74482856227874
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
