DLiP-ID,I000VL
DLiP-Mol-ID,29021
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18BrN3O3/c22-15-6-7-18-16(12-15)17(13-23-18)19(26)21(28)25-10-8-24(9-11-25)20(27)14-4-2-1-3-5-14/h1-7,12-13,23H,8-11H2"
Standard Inchi Key(RDKit),OLEQTQPSKHWASS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2ccc(Br)cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),440.297
MW Monoisotopic(RDKit),439.053153536
MolLogP(RDKit),3.0977
XLogP(SDF),
XLogP(CDK),3.63
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.502733972546789
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,3732510.68291542
qed,0.5027339725467886
Chi0,19.672997628507925
Chi1,13.541713895658194
TPSA,73.48
Chi0n,15.021716082853558
Chi0v,16.60771262196826
Chi1n,8.989547075192888
Chi1v,9.78254534475024
Chi2n,6.671806992279537
Chi2v,7.587482521071227
Chi3n,4.957498526723254
Chi3v,5.450750165440295
Chi4n,3.4154495171332835
Chi4v,3.7765347775907654
MolMR,109.25470000000004
MolWt,440.2970000000001
fr_SH,0
Kappa1,18.43408939481415
Kappa2,7.594896740461466
Kappa3,3.4501383911850496
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1053.202873011093
MolLogP,3.0977000000000015
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4407675348847544
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,26.1790256236503
SMR_VSA7,70.32740261853236
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.7998671717369
NHOHCount,1
PEOE_VSA1,14.783797982648164
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,34.12904510333418
PEOE_VSA7,30.33183534230805
PEOE_VSA8,53.314965134873844
PEOE_VSA9,5.563451491696996
RingCount,4
SMR_VSA10,44.43047323509836
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,439.053153536
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,58.56042801136641
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,20.715977351537635
