DLiP-ID,C002VD
DLiP-Mol-ID,33223
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10ClNO/c14-11-6-4-10(5-7-11)13(16)9-12-3-1-2-8-15-12/h1-8H,9H2"
Standard Inchi Key(RDKit),KXCOOLQUDZYTGG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1ccccn1)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),231.682
MW Monoisotopic(RDKit),231.04509162
MolLogP(RDKit),3.1604
XLogP(SDF),
XLogP(CDK),2.887
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),29.96
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.759917191937717
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,5689.016293492532
qed,0.759917191937717
Chi0,11.380468888623982
Chi1,7.7540201954234895
TPSA,29.96
Chi0n,8.559335293676604
Chi0v,9.31526423969506
Chi1n,4.942061190060964
Chi1v,5.320025663070192
Chi2n,3.4279210179513653
Chi2v,3.8643567984233496
Chi3n,2.2340205647334135
Chi3v,2.485996880072898
Chi4n,1.4050379017034593
Chi4v,1.531026059373202
MolMR,63.72350000000003
MolWt,231.682
fr_SH,0
Kappa1,10.834831944662522
Kappa2,4.903221868679817
Kappa3,2.6738600865716617
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,479.04559765692784
MolLogP,3.160400000000002
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1191809908648764
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
