DLiP-ID,T002GA
DLiP-Mol-ID,18693
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16Cl2N2O5S/c15-9-6-10(16)8-11(7-9)24(22,23)18-5-1-2-12(18)14(21)17-4-3-13(19)20/h6-8,12H,1-5H2,(H,17,21)(H,19,20)/t12-/m0/s1"
Standard Inchi Key(RDKit),IDWKVOPTSDZQJC-LBPRGKRZSA-N
Canonical SMILES(RDKit),O=C(O)CCNC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),395.264
MW Monoisotopic(RDKit),394.015697972
MolLogP(RDKit),1.7374
XLogP(SDF),
XLogP(CDK),1.675
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.763811536559518
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,189015.35234757932
qed,0.7638115365595181
Chi0,17.90541291500631
Chi1,11.213251186443054
TPSA,103.78
Chi0n,12.536532572028928
Chi0v,14.864887044993566
Chi1n,7.190358895201491
Chi1v,9.386351170020585
Chi2n,5.313699076145214
Chi2v,8.077125237961583
Chi3n,3.587092694254377
Chi3v,5.909463868988694
Chi4n,2.513165181003009
Chi4v,4.896803884590255
MolMR,88.63830000000003
MolWt,395.2640000000001
fr_SH,0
Kappa1,18.981114875586087
Kappa2,7.689383736353432
Kappa3,4.3833595378836705
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,733.2817381809848
MolLogP,1.7373999999999998
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1886048757813215
SMR_VSA1,23.113398747313287
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,30.199789173443765
SMR_VSA6,13.08951281182515
SMR_VSA7,28.244367832867482
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,149.13939103341397
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,23.20187978046503
PEOE_VSA7,31.040744451236847
PEOE_VSA8,23.134779439307803
