DLiP-ID,T007EI
DLiP-Mol-ID,25454
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20N4O4/c1-26-15-10-14(7-5-11(15)6-8-16(23)24)21-17(25)12-3-2-4-13(9-12)22-18(19)20/h2-5,7,9-10H,6,8H2,1H3,(H,21,25)(H,23,24)(H4,19,20,22)"
Standard Inchi Key(RDKit),XQUBDNIAAQZFBH-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1CCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),356.382
MW Monoisotopic(RDKit),356.14845512
MolLogP(RDKit),2.27007
XLogP(SDF),
XLogP(CDK),1.865
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),137.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.381047409463556
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,496641.226457578
qed,0.3810474094635564
Chi0,19.10408352775558
Chi1,12.384249150759292
TPSA,137.53
Chi0n,14.204974182781653
Chi0v,14.204974182781653
Chi1n,7.799410516449502
Chi1v,7.799410516449502
Chi2n,5.493968440994927
Chi2v,5.493968440994927
Chi3n,3.5569133692284356
Chi3v,3.5569133692284356
Chi4n,2.367409847155779
Chi4v,2.367409847155779
MolMR,98.88280000000003
MolWt,356.3820000000002
fr_SH,0
Kappa1,18.78387736916999
Kappa2,8.518919589459662
Kappa3,5.232868670744265
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,835.6908479512691
MolLogP,2.2700699999999996
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1322740339985735
SMR_VSA1,19.432464716784395
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,12.841643245852019
SMR_VSA6,17.743374749290194
SMR_VSA7,53.59147246262526
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
