DLiP-ID,T007NO
DLiP-Mol-ID,25855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20N8/c1-2-4-16-15(3-1)17(21-7-5-13-9-19-11-23-13)25-26-18(16)22-8-6-14-10-20-12-24-14/h1-4,9-12H,5-8H2,(H,19,23)(H,20,24)(H,21,25)(H,22,26)"
Standard Inchi Key(RDKit),YJNZTAMBTNJWKY-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2c(NCCc3c[nH]cn3)nnc(NCCc3c[nH]cn3)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),348.414
MW Monoisotopic(RDKit),348.18109264
MolLogP(RDKit),2.3852
XLogP(SDF),
XLogP(CDK),2.218
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.389399659238707
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,2213296.34710421
qed,0.3893996592387073
Chi0,17.606237238868708
Chi1,12.898979485566358
TPSA,107.2
Chi0n,14.236083660263033
Chi0v,14.236083660263033
Chi1n,8.584439609625836
Chi1v,8.584439609625836
Chi2n,5.917431961726273
Chi2v,5.917431961726273
Chi3n,4.144184640981671
Chi3v,4.144184640981671
Chi4n,2.8382024390310963
Chi4v,2.8382024390310963
MolMR,101.1008
MolWt,348.4140000000001
fr_SH,0
Kappa1,16.0703648948767
Kappa2,7.643498828041762
Kappa3,3.6364010706751406
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,867.9183241872714
MolLogP,2.3852
NOCount,8
fr_Ar_N,6
fr_COO2,0
