DLiP-ID,T007IL
DLiP-Mol-ID,25630
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H37N7O2/c1-17-6-5-9-20(14-17)22-15-21(31-32-22)18-10-12-33(13-11-18)23(34)16-29-25(35)24(30-26(27)28)19-7-3-2-4-8-19/h5-6,9,14-15,18-19,24H,2-4,7-8,10-13,16H2,1H3,(H,29,35)(H,31,32)(H4,27,28,30)/t24-/m1/s1"
Standard Inchi Key(RDKit),XYJBPEOHRBYXJR-XMMPIXPASA-N
Canonical SMILES(RDKit),Cc1cccc(-c2cc(C3CCN(C(=O)CNC(=O)[C@H](N=C(N)N)C4CCCCC4)CC3)n[nH]2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),479.629
MW Monoisotopic(RDKit),479.300873424
MolLogP(RDKit),2.42962
XLogP(SDF),
XLogP(CDK),3.311
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),142.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.356278285591098
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,IL-2/IL-2Ra
Common Target Pref Name,IL2/IL2R
RDKit Descriptors
Ipc,99573695.0346956
qed,0.3562782855910977
Chi0,24.78588180363028
Chi1,16.90188724096433
TPSA,142.49
Chi0n,20.50270787118933
Chi0v,20.50270787118933
Chi1n,12.670181192234745
Chi1v,12.670181192234745
Chi2n,9.84572174866018
Chi2v,9.84572174866018
Chi3n,7.259671387486985
Chi3v,7.259671387486985
Chi4n,5.299202564673783
Chi4v,5.299202564673783
MolMR,136.49819999999997
MolWt,479.6290000000003
fr_SH,0
Kappa1,24.754732064281107
Kappa2,11.377792968750002
Kappa3,6.405179280659088
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,1045.4746667597574
MolLogP,2.42962
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2731267542118239
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,20.414061951458883
SMR_VSA4,22.377645733121433
SMR_VSA5,63.82923543548206
SMR_VSA6,19.634269217737724
SMR_VSA7,41.58921482885351
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,206.28595686739487
NHOHCount,6
PEOE_VSA1,21.68403328918118
PEOE_VSA2,14.687756176444681
PEOE_VSA3,4.992404732635669
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,43.025017565859855
PEOE_VSA7,56.22111536617627
PEOE_VSA8,19.007418857986544
PEOE_VSA9,17.932612395609496
RingCount,4
SMR_VSA10,17.773914027446846
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,479.30087342400014
NumHDonors,4
PEOE_VSA10,6.041840829147961
PEOE_VSA11,5.959554568743835
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
