DLiP-ID,C000DM
DLiP-Mol-ID,30661
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10O7/c16-7-1-2-8-11(5-7)22-15(14(21)12(8)19)6-3-9(17)13(20)10(18)4-6/h1-5,16-18,20-21H"
Standard Inchi Key(RDKit),SOEDEYVDCDYMMH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)ccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),302.238
MW Monoisotopic(RDKit),302.04265266
MolLogP(RDKit),1.988
XLogP(SDF),
XLogP(CDK),3.875
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),131.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.434190440299098
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,89549.36219832946
qed,0.4341904402990982
Chi0,16.016143379015546
Chi1,10.37991785310972
TPSA,131.36
Chi0n,10.939315904375647
Chi0v,10.939315904375647
Chi1n,6.123140834537527
Chi1v,6.123140834537527
Chi2n,4.652484078278546
Chi2v,4.652484078278546
Chi3n,3.183863745184613
Chi3v,3.183863745184613
Chi4n,2.1029452345126103
Chi4v,2.1029452345126103
MolMR,76.24399999999999
MolWt,302.238
fr_SH,0
Kappa1,13.624737496262508
Kappa2,4.589937946900745
Kappa3,1.9568672179507631
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,932.9926827834672
MolLogP,1.9880000000000004
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.360840628360748
SMR_VSA1,29.949787911256877
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,40.55516291828041
SMR_VSA8,0.0
SMR_VSA9,40.07125807699096
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,5
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
