DLiP-ID,C001U2
DLiP-Mol-ID,32918
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11NO2S/c1-15-12(14)10-9(7-16-11(10)13)8-5-3-2-4-6-8/h2-7H,13H2,1H3"
Standard Inchi Key(RDKit),KHNSKPUYBBZGLW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1c(-c2ccccc2)csc1N
SMILES(SDF),
MW(SDF),
MW(RDKit),233.292
MW Monoisotopic(RDKit),233.051049592
MolLogP(RDKit),2.7839
XLogP(SDF),
XLogP(CDK),2.775
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),52.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.811343705265719
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6726.235102883736
qed,0.811343705265719
Chi0,11.543605595440512
Chi1,7.736382105218449
TPSA,52.32
Chi0n,8.766196755718973
Chi0v,9.582693336646699
Chi1n,4.74435685826776
Chi1v,5.624009669522654
Chi2n,3.246235192683095
Chi2v,4.157466119101574
Chi3n,2.2937937028442157
Chi3v,3.105405132355133
Chi4n,1.5156906134932164
Chi4v,2.325583649157495
MolMR,65.50690000000003
MolWt,233.292
fr_SH,0
Kappa1,10.699326455634814
Kappa2,4.365060760627513
Kappa3,1.7914128647163015
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,504.9922416008349
MolLogP,2.7839
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.545360415051802
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,12.84346501843972
SMR_VSA7,41.27534960447096
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,97.47370285132905
NHOHCount,2
PEOE_VSA1,10.470530430962235
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,30.33183534230805
PEOE_VSA7,5.563451491696996
PEOE_VSA8,10.94351426216291
PEOE_VSA9,7.109797541277533
RingCount,2
SMR_VSA10,22.307173142574452
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,233.051049592
NumHDonors,1
PEOE_VSA10,10.564533468384862
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.733667477162185
SlogP_VSA2,13.079102829229383
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,35.711898112773966
SlogP_VSA7,0.0
