DLiP-ID,T002ZG
DLiP-Mol-ID,19509
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H34O2/c1-13-6-8-16(18(21)12-13)14(2)7-9-17-15(3)19(4)10-11-20(17,5)22-19/h12,14-18,21H,6-11H2,1-5H3/t14-,15+,16+,17+,18+,19+,20-/m0/s1"
Standard Inchi Key(RDKit),JTUWBMRONSWGPE-WWUUMWGSSA-N
Canonical SMILES(RDKit),CC1=C[C@@H](O)[C@@H]([C@@H](C)CC[C@@H]2[C@@H](C)[C@@]3(C)CC[C@]2(C)O3)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),306.49
MW Monoisotopic(RDKit),306.255880328
MolLogP(RDKit),4.71360000000001
XLogP(SDF),
XLogP(CDK),4.709
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.761951483744712
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,90870.87204260804
qed,0.761951483744712
Chi0,16.120955864630137
Chi1,10.250454651104402
TPSA,29.46
Chi0n,15.062204188220864
Chi0v,15.062204188220864
Chi1n,9.305911498879459
Chi1v,9.305911498879459
Chi2n,8.883337028113711
Chi2v,8.883337028113711
Chi3n,7.365100143851223
Chi3v,7.365100143851223
Chi4n,5.563720098436882
Chi4v,5.563720098436882
MolMR,90.66880000000008
MolWt,306.49000000000007
fr_SH,0
Kappa1,16.51541937092753
Kappa2,5.630367113415758
Kappa3,2.6673279843842566
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,456.623597225689
MolLogP,4.713600000000005
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5897403767890435
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,23.671624184645573
SMR_VSA5,90.44968374572487
SMR_VSA6,0.0
SMR_VSA7,11.64912463690315
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,135.87383369029604
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.496599036284397
PEOE_VSA7,82.9677655212735
PEOE_VSA8,0.0
PEOE_VSA9,17.30606800971568
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,306.255880328
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,22.412595404556384
SlogP_VSA3,4.736862953800049
SlogP_VSA4,23.671624184645573
SlogP_VSA5,73.14361573600918
SlogP_VSA6,11.64912463690315
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
