DLiP-ID,C0027S
DLiP-Mol-ID,29104
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14N4O2S/c1-11-4-2-6-13(8-11)17-15(22)18-16-10-12-5-3-7-14(9-12)19(20)21/h2-10H,1H3,(H2,17,18,22)/b16-10+"
Standard Inchi Key(RDKit),MFQOVVAMFNFSGZ-MHWRWJLKSA-N
Canonical SMILES(RDKit),Cc1cccc(NC(=S)N/N=C/c2cccc([N+](=O)[O-])c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),314.37
MW Monoisotopic(RDKit),314.083746688
MolLogP(RDKit),3.22372
XLogP(SDF),
XLogP(CDK),4.693
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.391889858078752
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,83327.5357722805
qed,0.3918898580787523
Chi0,15.94938298937633
Chi1,10.541713895658194
TPSA,79.56
Chi0n,11.81532448509814
Chi0v,12.631821066025866
Chi1n,6.456094546835812
Chi1v,6.864342837299675
Chi2n,4.5457024931919605
Chi2v,4.953950783655824
Chi3n,2.7366867466371065
Chi3v,2.9300359121705997
Chi4n,1.7659631081668432
Chi4v,1.9365188660340746
MolMR,91.22580000000002
MolWt,314.37000000000006
fr_SH,0
Kappa1,15.586236643466329
Kappa2,7.277638408304498
Kappa3,4.637130177514793
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,730.9873159578125
MolLogP,3.223720000000001
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9291538743628076
SMR_VSA1,4.923311048817671
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,5.101407525739723
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,69.77215779985245
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,132.5602625117667
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,15.540109665875956
PEOE_VSA3,0.0
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,36.83779627135753
PEOE_VSA8,23.38357190330378
PEOE_VSA9,11.137911628352988
RingCount,2
SMR_VSA10,34.919683456673894
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,314.08374668799996
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.112436884724758
PEOE_VSA12,0.0
PEOE_VSA13,5.687386274683562
PEOE_VSA14,0.0
SlogP_VSA1,10.742580001116716
SlogP_VSA2,16.250348513077746
SlogP_VSA3,0.0
SlogP_VSA4,17.038055468456196
SlogP_VSA5,11.126902983393991
SlogP_VSA6,53.632344073432606
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,4.923311048817671
EState_VSA2,5.687386274683562
