DLiP-ID,I000UX
DLiP-Mol-ID,28997
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20FN3O3/c1-14-7-8-17(23)18-16(13-24-19(14)18)20(27)22(29)26-11-9-25(10-12-26)21(28)15-5-3-2-4-6-15/h2-8,13,24H,9-12H2,1H3"
Standard Inchi Key(RDKit),OAXAIXIRIJLMBL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12
SMILES(SDF),
MW(SDF),
MW(RDKit),393.418
MW Monoisotopic(RDKit),393.14886972
MolLogP(RDKit),2.78272
XLogP(SDF),
XLogP(CDK),3.219
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.549363628959675
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,5750218.385131719
qed,0.5493636289596746
Chi0,20.543241116511
Chi1,13.96923425058676
TPSA,73.48
Chi0n,15.944365813663934
Chi0v,15.944365813663934
Chi1n,9.41219680600326
Chi1v,9.41219680600326
Chi2n,7.096184931449774
Chi2v,7.096184931449774
Chi3n,5.306712244533665
Chi3v,5.306712244533665
Chi4n,3.661067341521487
Chi4v,3.661067341521487
MolMR,106.24970000000002
MolWt,393.4180000000001
fr_SH,0
Kappa1,18.863512291268744
Kappa2,7.502544653879883
Kappa3,3.3951533853551212
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1099.1929099743002
MolLogP,2.7827200000000003
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4704535462781703
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,26.1790256236503
SMR_VSA7,71.16898836698122
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.46279708341842
