DLiP-ID,J1008T
DLiP-Mol-ID,37019
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14N2O2/c1-3-14-9-11-16(12-10-14)20-19(22)17-13(2)23-21-18(17)15-7-5-4-6-8-15/h1,4-12H,2H3,(H,20,22)"
Standard Inchi Key(RDKit),AIQCQJZFIWNUJQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),C#Cc1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),302.333
MW Monoisotopic(RDKit),302.105527688
MolLogP(RDKit),3.88362
XLogP(SDF),
XLogP(CDK),4.225
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.746884393978826
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,268514.86669627175
qed,0.746884393978826
Chi0,16.233840039752504
Chi1,11.185871848001627
TPSA,55.13
Chi0n,12.537212868323945
Chi0v,12.537212868323945
Chi1n,7.085155216212589
Chi1v,7.085155216212589
Chi2n,5.004204586936334
Chi2v,5.004204586936334
Chi3n,3.446450353110937
Chi3v,3.446450353110937
Chi4n,2.2759975533391197
Chi4v,2.2759975533391197
MolMR,89.0062
MolWt,302.3330000000001
fr_SH,0
Kappa1,14.610338639179748
Kappa2,6.203412812410227
Kappa3,2.9916690183133725
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,871.9831239588055
MolLogP,3.8836200000000014
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.905767729895807
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,71.48445401842294
SMR_VSA8,0.0
SMR_VSA9,23.60116370102136
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.68130321551521
NHOHCount,1
PEOE_VSA1,9.83988354097968
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,6.423349895620259
PEOE_VSA6,41.40893291828914
PEOE_VSA7,31.189205473537065
PEOE_VSA8,16.814289258077554
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,11.594566004035068
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,302.105527688
NumHDonors,1
PEOE_VSA10,17.0176269054199
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,11.063842986476951
SlogP_VSA3,0.0
SlogP_VSA4,19.267521414166527
SlogP_VSA5,21.681687586340257
SlogP_VSA6,59.12039855312784
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
