DLiP-ID,T003VA
DLiP-Mol-ID,20874
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16N4OS2/c1-25-17-9-5-3-7-14(17)21-18(24)10-23-16-8-4-2-6-13(16)22-19(23)15-11-26-12-20-15/h2-9,11-12H,10H2,1H3,(H,21,24)"
Standard Inchi Key(RDKit),MKXADKWNFKWNQP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1ccccc1NC(=O)Cn1c(-c2cscn2)nc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),380.498
MW Monoisotopic(RDKit),380.076553132
MolLogP(RDKit),4.5204
XLogP(SDF),
XLogP(CDK),3.958
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.517242617696863
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1795407.4448263682
qed,0.5172426176968627
Chi0,17.932510652501772
Chi1,12.75835149307306
TPSA,59.81
Chi0n,14.046995130974272
Chi0v,15.679988292829725
Chi1n,8.027290809799991
Chi1v,10.194844722773645
Chi2n,5.632412482295437
Chi2v,7.199173476436062
Chi3n,3.9987519899119084
Chi3v,5.381042890094671
Chi4n,2.8353039647377347
Chi4v,3.919385343700697
MolMR,107.69370000000002
MolWt,380.49800000000005
fr_SH,0
Kappa1,16.808370985606093
Kappa2,7.309043739023976
Kappa3,3.229665318728366
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1056.544402738868
MolLogP,4.520400000000002
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.680483247443239
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,11.440239881430351
SMR_VSA6,11.572557787517734
SMR_VSA7,59.42153859177618
SMR_VSA8,0.0
SMR_VSA9,11.518332492848387
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.6553678554812
NHOHCount,1
PEOE_VSA1,9.883888251797686
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,23.098670827325854
PEOE_VSA6,24.26546827384644
PEOE_VSA7,30.52123745735784
PEOE_VSA8,10.27554624598369
PEOE_VSA9,22.231326983533464
RingCount,4
SMR_VSA10,45.72663826659344
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,380.0765531320001
NumHDonors,1
PEOE_VSA10,12.238684400761036
PEOE_VSA11,5.824404497999927
