DLiP-ID,C001XA
DLiP-Mol-ID,26819
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15N5O3/c1-12-17-18(13-7-9-15(10-8-13)25(26)27)16(11-21)19(22)28-20(17)24(23-12)14-5-3-2-4-6-14/h2-10,18H,22H2,1H3"
Standard Inchi Key(RDKit),JQNRRYBMONLNDN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1nn(-c2ccccc2)c2c1C(c1ccc([N+](=O)[O-])cc1)C(C#N)=C(N)O2
SMILES(SDF),
MW(SDF),
MW(RDKit),373.372
MW Monoisotopic(RDKit),373.11748934
MolLogP(RDKit),3.3071
XLogP(SDF),
XLogP(CDK),3.802
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),120.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.555374900164316
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3130958.7207410545
qed,0.5553749001643159
Chi0,19.83613433532446
Chi1,13.507239053047545
TPSA,120.0
Chi0n,14.864452214477309
Chi0v,14.864452214477309
Chi1n,8.478181996832
Chi1v,8.478181996832
Chi2n,6.325036539694703
Chi2v,6.325036539694703
Chi3n,4.6704617582828725
Chi3v,4.6704617582828725
Chi4n,3.380083377286369
