DLiP-ID,P0002A
DLiP-Mol-ID,22659
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23N3O6/c1-4-32-21-8-7-16(14(2)28)12-20(21)27-23(30)17-10-18(25-15(3)29)13-19(11-17)26-24(31)22-6-5-9-33-22/h5-13H,4H2,1-3H3,(H,25,29)(H,26,31)(H,27,30)"
Standard Inchi Key(RDKit),CERSGKCXWDUOHE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(C(C)=O)cc1NC(=O)c1cc(NC(C)=O)cc(NC(=O)c2ccco2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),449.463
MW Monoisotopic(RDKit),449.158685456
MolLogP(RDKit),4.3439
XLogP(SDF),
XLogP(CDK),2.133
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),126.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.439118292345861
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,22239573.135745753
qed,0.43911829234586147
Chi0,23.957454678884094
Chi1,15.761259248471037
