DLiP-ID,C004FU
DLiP-Mol-ID,35256
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24Cl2N2O3/c1-22(13-19(27)28)12-18(15-5-4-6-17(24)11-15)20(26(21(22)29)25(2)3)14-7-9-16(23)10-8-14/h4-11,18,20H,12-13H2,1-3H3,(H,27,28)/t18-,20-,22-/m0/s1"
Standard Inchi Key(RDKit),UXUFGOIKDTYLPE-VCOUNFBDSA-N
Canonical SMILES(RDKit),CN(C)N1C(=O)[C@](C)(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),435.351
MW Monoisotopic(RDKit),434.116397988
MolLogP(RDKit),5.0082
XLogP(SDF),
XLogP(CDK),3.769
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),60.85
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.717638292518336
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,2024320.3626105946
qed,0.7176382925183354
Chi0,21.34457050376173
Chi1,13.619716704747376
TPSA,60.85000000000001
Chi0n,16.60178256771541
Chi0v,18.11364045975232
Chi1n,9.358378914578607
Chi1v,10.114307860597062
Chi2n,7.990122367318641
Chi2v,8.862993928262608
Chi3n,5.500132805674466
Chi3v,5.98720622380169
Chi4n,4.2404743629073165
Chi4v,4.5651899749921325
MolMR,113.89580000000004
MolWt,435.3510000000001
fr_SH,0
Kappa1,21.624619410822817
Kappa2,8.34461703843053
Kappa3,4.420793626568177
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,916.5283250837609
MolLogP,5.008200000000004
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1818672183201335
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.017825047909064
SMR_VSA4,5.41499046939678
SMR_VSA5,31.725127320852
SMR_VSA6,14.09534396535438
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.34570108268642
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,14.597986892098174
PEOE_VSA3,5.008912523954532
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.39108525400209
PEOE_VSA7,41.81319288016644
PEOE_VSA8,30.058516638998427
PEOE_VSA9,17.87765292147075
RingCount,3
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,434.11639798799996
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,41.0961814254075
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.41499046939678
