DLiP-ID,T004A5
DLiP-Mol-ID,17070
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H26N4O2/c31-26-21-10-4-5-11-22(21)28-25(18-29-16-14-27-15-17-29)30(26)23-12-6-7-13-24(23)32-19-20-8-2-1-3-9-20/h1-13,27H,14-19H2"
Standard Inchi Key(RDKit),NNFABBAAEQFFAN-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c2ccccc2nc(CN2CCNCC2)n1-c1ccccc1OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),426.52
MW Monoisotopic(RDKit),426.205576072
MolLogP(RDKit),3.3699
XLogP(SDF),
XLogP(CDK),4.032
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.512346746412918
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,36701369.815807655
qed,0.5123467464129179
Chi0,21.752501608810675
Chi1,15.79282633568371
TPSA,59.39
Chi0n,17.906331554012027
Chi0v,17.906331554012027
Chi1n,10.993238415134392
Chi1v,10.993238415134392
Chi2n,7.953889244315959
Chi2v,7.953889244315959
Chi3n,5.763137063724953
Chi3v,5.763137063724953
Chi4n,4.101723207732381
Chi4v,4.101723207732381
MolMR,126.26070000000001
MolWt,426.5200000000001
fr_SH,0
Kappa1,20.424211846546505
Kappa2,9.340948168556434
Kappa3,4.280691013838041
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1263.8115417499364
MolLogP,3.369900000000002
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5867084792452077
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,19.76777650359537
SMR_VSA4,0.0
SMR_VSA5,13.151638370425493
SMR_VSA6,26.1790256236503
SMR_VSA7,100.60443195882172
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.64510822806108
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,14.261546562713654
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.59730361615449
PEOE_VSA7,29.828919765543436
PEOE_VSA8,26.1790256236503
PEOE_VSA9,23.135067612677194
RingCount,5
SMR_VSA10,10.902924932081056
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,426.205576072
NumHDonors,1
PEOE_VSA10,18.18079829579675
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,15.612918452858388
SlogP_VSA2,40.63001352323934
SlogP_VSA3,13.151638370425493
SlogP_VSA4,0.0
SlogP_VSA5,11.387855989696924
SlogP_VSA6,83.65730907407277
SlogP_VSA7,0.0
SlogP_VSA8,16.590311206764618
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
