DLiP-ID,C000U2
DLiP-Mol-ID,31372
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H18N2OS/c1-2-14-12(15)10-8-6-4-3-5-7-9(8)16-11(10)13/h2-7,13H2,1H3,(H,14,15)"
Standard Inchi Key(RDKit),OAPRCRIUXLGPCE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCNC(=O)c1c(N)sc2c1CCCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),238.356
MW Monoisotopic(RDKit),238.113984196
MolLogP(RDKit),2.3489
XLogP(SDF),
XLogP(CDK),1.983
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),55.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.777039963193489
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5088.803106012352
qed,0.7770399631934893
Chi0,11.543605595440512
Chi1,7.736382105218447
TPSA,55.120000000000005
Chi0n,9.63648753723664
Chi0v,10.452984118164366
Chi1n,5.918814523256977
Chi1v,6.735311104184703
Chi2n,4.163156971432042
Chi2v,5.299906802118167
Chi3n,3.012932286597426
Chi3v,4.133893059701757
Chi4n,2.2618299059596105
Chi4v,3.418971824997799
MolMR,67.99760000000002
