DLiP-ID,J0009E
DLiP-Mol-ID,27080
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N5O3S/c29-21(26-13-22(30)31)14-28-10-8-15-5-6-17(11-20(15)28)27-23(32)24-9-7-16-12-25-19-4-2-1-3-18(16)19/h1-6,8,10-12,25H,7,9,13-14H2,(H,26,29)(H,30,31)(H2,24,27,32)"
Standard Inchi Key(RDKit),GOWQIHZCRGJRIM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CNC(=O)Cn1ccc2ccc(NC(=S)NCCc3c[nH]c4ccccc34)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),449.536
MW Monoisotopic(RDKit),449.152160596
MolLogP(RDKit),2.8525
XLogP(SDF),
XLogP(CDK),2.678
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),111.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.264655192695103
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL6/BCL6 corepressor (BCOR)
Common Target Pref Name,BCL6/BCL6 corepressor (BCOR)
RDKit Descriptors
Ipc,23665839.509529166
qed,0.26465519269510335
Chi0,22.50142475325411
Chi1,15.491203638441375
TPSA,111.18
Chi0n,17.221101879033956
Chi0v,18.037598459961682
Chi1n,10.166522517946104
Chi1v,10.57477080840997
Chi2n,7.378100610050504
Chi2v,7.786348900514367
Chi3n,5.137321598442652
Chi3v,5.383721238356023
Chi4n,3.6088048206684813
Chi4v,3.8287180234822045
MolMR,128.80960000000002
MolWt,449.5360000000002
fr_SH,0
Kappa1,21.384641060059934
Kappa2,9.524710942439873
Kappa3,5.06425076677314
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,1
