DLiP-ID,T000UJ
DLiP-Mol-ID,16574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H35NO4/c1-4-21(2,3)18(23)19(24)22-14-8-13-17(22)20(25)26-15-9-12-16-10-6-5-7-11-16/h16-17H,4-15H2,1-3H3"
Standard Inchi Key(RDKit),CKQRWJDENKSDNP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCC1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),365.514
MW Monoisotopic(RDKit),365.2566086
MolLogP(RDKit),3.8864
XLogP(SDF),
XLogP(CDK),4.928
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.371848362265965
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,692235.4409797705
qed,0.3718483622659648
Chi0,19.15648977056287
Chi1,12.364209190060024
TPSA,63.68000000000001
Chi0n,16.720188669973236
Chi0v,16.720188669973236
Chi1n,10.385533637266605
Chi1v,10.385533637266605
Chi2n,8.536895865512722
Chi2v,8.536895865512722
Chi3n,6.204321720674225
Chi3v,6.204321720674225
Chi4n,3.9520726691593997
Chi4v,3.9520726691593997
MolMR,100.58200000000006
MolWt,365.5140000000002
fr_SH,0
Kappa1,20.916279227306667
Kappa2,9.518163581550294
Kappa3,5.3057361568574
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,508.14046675055954
MolLogP,3.8864000000000027
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7935964150361512
SMR_VSA1,19.120474506015515
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,11.332896515558172
SMR_VSA5,91.02126865747995
SMR_VSA6,13.151638370425493
SMR_VSA7,0.0
