DLiP-ID,T004JU
DLiP-Mol-ID,19178
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15FN4O3S2/c1-11-9-16(21-25-11)22-27(23,24)15-7-5-13(6-8-15)19-17(26)20-14-4-2-3-12(18)10-14/h2-10H,1H3,(H,21,22)(H2,19,20,26)"
Standard Inchi Key(RDKit),OIQAQOBGGHVKJY-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NS(=O)(=O)c2ccc(NC(=S)Nc3cccc(F)c3)cc2)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),406.464
MW Monoisotopic(RDKit),406.05696056
MolLogP(RDKit),3.73182
XLogP(SDF),
XLogP(CDK),3.394
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.555674795976577
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,1161027.1043892286
qed,0.5556747959765774
Chi0,19.440946820939043
Chi1,12.814500270642638
TPSA,96.26
Chi0n,14.062571943535136
Chi0v,15.695565105390589
Chi1n,7.7150778136321705
Chi1v,9.606489351690424
Chi2n,5.5421503232591975
Chi2v,7.632800855132579
Chi3n,3.371870778776513
Chi3v,4.946629853237537
Chi4n,2.1881911148964894
Chi4v,3.407655375084341
MolMR,104.7339
MolWt,406.4640000000001
fr_SH,0
Kappa1,18.800485182272727
Kappa2,7.721749764306333
Kappa3,5.018336293993231
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1065.7923891700198
MolLogP,3.731820000000001
