DLiP-ID,C000BE
DLiP-Mol-ID,30354
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2/c1-21(2)18-13-8-15(9-14-18)7-11-17-12-10-16-5-3-4-6-19(16)20-17/h3-14H,1-2H3/b11-7+"
Standard Inchi Key(RDKit),YMIKUHVSRFHPOP-YRNVUSSQSA-N
Canonical SMILES(RDKit),CN(C)c1ccc(/C=C/c2ccc3ccccc3n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),274.367
MW Monoisotopic(RDKit),274.146998576
MolLogP(RDKit),4.4712
XLogP(SDF),
XLogP(CDK),4.635
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),16.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.700157059575205
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,87244.77031265819
qed,0.7001570595752047
Chi0,14.656489770562878
Chi1,10.220346690612276
TPSA,16.130000000000003
Chi0n,12.322630421275429
Chi0v,12.322630421275429
Chi1n,7.035332263531316
Chi1v,7.035332263531316
Chi2n,5.248110761136434
Chi2v,5.248110761136434
Chi3n,3.475987826585974
Chi3v,3.475987826585974
Chi4n,2.239800334058346
Chi4v,2.239800334058346
MolMR,91.44000000000004
